"","X","huc12","states","name","areasqkm","areaacres"
"80850","80850","010802050102","CT,MA","Pecousic Brook-Connecticut River",95.45,23585.17
"808501","80850","010802050102","CT,MA","Pecousic Brook-Connecticut River",95.45,23585.17
"15231","15231","010802050103","CT,MA","Muddy Brook",51.98,12844.82
"152311","15231","010802050103","CT,MA","Muddy Brook",51.98,12844.82
"37839","37839","010802050104","CT","Stony Brook",63.42,15670.2
"53478","53478","010802050105","CT,MA","Freshwater Brook-Connecticut River",108.28,26755.69
"534781","53478","010802050105","CT,MA","Freshwater Brook-Connecticut River",108.28,26755.69
"37822","37822","010802050201","CT,MA","Upper Scantic River",126.35,31222
"378221","37822","010802050201","CT,MA","Upper Scantic River",126.35,31222
"80801","80801","010802050202","CT","Broad Brook",40.87,10099.11
"80802","80802","010802050203","CT","Lower Scantic River",127.16,31422.14
"15226","15226","010802050301","CT","Trout Brook",45.96,11357.57
"80798","80798","010802050302","CT","North Branch Park River",74.62,18437.76
"8223","8223","010802050303","CT","Piper Brook-Park River",79.35,19608.09
"80803","80803","010802050401","CT","Upper Hockanum River",84.04,20765.93
"80804","80804","010802050402","CT","Lower Hockanum River",115.67,28583.64
"80806","80806","010802050501","CT","Podunk River",52.6,12997.85
"53475","53475","010802050502","CT","Stoughton Brook-Connecticut River",51.26,12667.6
"37873","37873","010802050503","CT","Salmon Brook",52.24,12909.25
"80807","80807","010802050504","CT","Roaring Brook",67.23,16614.04
"80808","80808","010802050505","CT","Goff Brook-Connecticut River",89.13,22025.12
"80736","80736","010802050506","CT","Reservoir Brook-Connecticut River",78.56,19413.46
"15520","15520","010802050601","CT","Upper Mattabesset River",78.75,19458.53
"15521","15521","010802050602","CT","Coginchaug River",100.86,24922.42
"15522","15522","010802050603","CT","Lower Mattabesset River",102.29,25276.15
"15524","15524","010802050701","CT","Higganum Creek",51.23,12660.32
"80843","80843","010802050702","CT","Mill Creek-Connecticut River",133.41,32967.34
"37871","37871","010802050801","CT","Blackledge River",100.68,24877.63
"15525","15525","010802050802","CT","Jeremy River",111.94,27661.22
"80845","80845","010802050803","CT","Pine Brook",40.33,9966.48
"80842","80842","010802050804","CT","Moodus River",45.61,11270.87
"37874","37874","010802050805","CT","Dickinson Creek-Salmon River",87.42,21603.16
"80846","80846","010802050901","CT","Deep River-Connecticut River",147.63,36480.15
"15526","15526","010802050902","CT","East Branch Eightmile River",58.37,14423.16
"15227","15227","010802050903","CT","Eightmile River",103.26,25514.88
"53476","53476","010802050904","CT","Falls River",45.91,11345.49
"15527","15527","010802050905","CT","Joshua Creek-Connecticut River",109.88,27151.04
"80885","80885","010802060304","CT,MA","Great Brook",63.21,15620.35
"808851","80885","010802060304","CT,MA","Great Brook",63.21,15620.35
"15528","15528","010802070101","CT","Mad River",82.51,20389.19
"80886","80886","010802070102","CT,MA","Sandy Brook",96.82,23924.12
"808861","80886","010802070102","CT,MA","Sandy Brook",96.82,23924.12
"80847","80847","010802070103","CT","Still River",46.36,11455.27
"80887","80887","010802070204","CT,MA","Lower West Branch Farmington River",152.24,37618.73
"808871","80887","010802070204","CT,MA","Lower West Branch Farmington River",152.24,37618.73
"80884","80884","010802070301","CT,MA","Hubbard River",54.11,13371.55
"808841","80884","010802070301","CT,MA","Hubbard River",54.11,13371.55
"15232","15232","010802070302","CT,MA","Valley Brook-East Branch Farmington River",116.91,28889.36
"152321","15232","010802070302","CT,MA","Valley Brook-East Branch Farmington River",116.91,28889.36
"15228","15228","010802070401","CT","Nepaug River",82.82,20464.62
"80848","80848","010802070402","CT","Cherry Brook-Farmington River",67.15,16593.49
"15229","15229","010802070403","CT","Copper Mine Brook",48.22,11916.62
"15529","15529","010802070404","CT","Pequabuck River",101.2,25006.95
"80849","80849","010802070405","CT","Roaring Brook-Farmington River",96.35,23808.2
"15230","15230","010802070501","CT","West Branch Salmon Brook",68.87,17018.23
"80888","80888","010802070502","CT,MA","Salmon Brook",118.96,29394.94
"808881","80888","010802070502","CT,MA","Salmon Brook",118.96,29394.94
"37934","37934","010802070601","CT","Nod Brook-Farmington River",64.87,16029.41
"53477","53477","010802070602","CT","Mill Brook-Farmington River",139.11,34374.31
"14907","14907","011000010101","CT,MA","Hamilton Reservoir",52.71,13025.52
"149071","14907","011000010101","CT,MA","Hamilton Reservoir",52.71,13025.52
"81072","81072","011000010103","CT,MA","McKinstry Brook-Quinebaug River",107.16,26479.43
"810721","81072","011000010103","CT,MA","McKinstry Brook-Quinebaug River",107.16,26479.43
"14908","14908","011000010104","CT,MA","Cady Brook-Quinebaug River",101.88,25174.87
"149081","14908","011000010104","CT,MA","Cady Brook-Quinebaug River",101.88,25174.87
"81073","81073","011000010105","CT,MA","Shunway Brook-Quinebaug River",63.37,15659.41
"810731","81073","011000010105","CT,MA","Shunway Brook-Quinebaug River",63.37,15659.41
"8217","8217","011000010203","CT,MA","Middle French River",103.78,25644.28
"82171","8217","011000010203","CT,MA","Middle French River",103.78,25644.28
"81142","81142","011000010204","CT,MA","Lower French River",52.61,13000.43
"811421","81142","011000010204","CT,MA","Lower French River",52.61,13000.43
"8219","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28
"82191","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28
"82192","8219","011000010301","CT,MA,RI","Upper Fivemile River",99.44,24572.28
"8220","8220","011000010302","CT,RI","Lower Fivemile River",98.16,24256.75
"82201","8220","011000010302","CT,RI","Lower Fivemile River",98.16,24256.75
"14875","14875","011000010401","CT,MA","Roseland Lake-Little River",101.4,25056.42
"148751","14875","011000010401","CT,MA","Roseland Lake-Little River",101.4,25056.42
"80790","80790","011000010402","CT","Mashamoquet Brook",87.87,21712.44
"14809","14809","011000010403","CT","Fall Brook-Quinebaug River",107.44,26547.82
"8221","8221","011000010501","CT,RI","Upper Moosup River",90.57,22380.37
"82211","8221","011000010501","CT,RI","Upper Moosup River",90.57,22380.37
"80294","80294","011000010502","CT,RI","Quaduck Brook",50.54,12488.67
"802941","80294","011000010502","CT,RI","Quaduck Brook",50.54,12488.67
"15118","15118","011000010503","CT,RI","Lower Moosup River",89.34,22075.7
"151181","15118","011000010503","CT,RI","Lower Moosup River",89.34,22075.7
"80295","80295","011000010601","CT,RI","Upper Pachaug River",98.84,24422.95
"802951","80295","011000010601","CT,RI","Upper Pachaug River",98.84,24422.95
"80788","80788","011000010602","CT","Lower Pachaug River",64.57,15955.28
"8945","8945","011000010701","CT","Blackwell Brook",72.89,18011.6
"80791","80791","011000010702","CT","Mill Brook",46.09,11388.61
"8216","8216","011000010703","CT","Broad Brook",42.42,10482.95
"8946","8946","011000010704","CT","Cory Brook-Quinebaug River",139.51,34474.07
"80816","80816","011000020101","CT","Edson Brook",45.61,11270.95
"81140","81140","011000020102","CT,MA","Middle River",41.97,10372.16
"811401","81140","011000020102","CT,MA","Middle River",41.97,10372.16
"14909","14909","011000020103","CT,MA","Furnace Brook",42.48,10498
"149091","14909","011000020103","CT,MA","Furnace Brook",42.48,10498
"80817","80817","011000020104","CT","Roaring Brook",57.01,14088.03
"80818","80818","011000020105","CT","Skungamaug River",79.59,19667.84
"8947","8947","011000020106","CT","Hop River",127.06,31396.62
"80820","80820","011000020107","CT","Tenmile River",43.98,10867.09
"80821","80821","011000020108","CT","Nelson Brook-Willimantic River",146.34,36160.31
"14833","14833","011000020201","CT","Bungee Brook",43.42,10729.03
"80822","80822","011000020202","CT","Still River",41.49,10252.02
"81143","81143","011000020203","CT,MA","Bigelow Brook",75.78,18725.31
"811431","81143","011000020203","CT,MA","Bigelow Brook",75.78,18725.31
"8948","8948","011000020204","CT","Fenton River",88.99,21988.67
"80832","80832","011000020205","CT","Mount Hope River",94.84,23435.18
"80834","80834","011000020206","CT","Sawmill Brook-Natchaug River",110.99,27426.2
"8949","8949","011000020301","CT","Merrick Brook",53.9,13320.11
"80861","80861","011000020302","CT","Little River",112.1,27699.73
"80831","80831","011000020303","CT","Beaver Brook-Shetucket River",157.6,38944.89
"15541","15541","011000030101","CT","Deep River",82.51,20389.74
"80860","80860","011000030102","CT","Susquetonscut Brook",39.77,9826.29
"80835","80835","011000030103","CT","Pease Brook-Yantic River",130.94,32356.73
"8950","8950","011000030201","CT","Poquetanuck Brook",73.58,18181.55
"80836","80836","011000030202","CT","Stony Brook",57.09,14107.25
"80837","80837","011000030203","CT","Thames River-Frontal New London Harbor",148.29,36642.46
"8951","8951","011000030301","CT","Mystic River",69.53,17181.91
"80838","80838","011000030302","CT","Poquonock River-Frontal Fishers Island Sound",42.86,10590.9
"100481","100481","011000030303","CT","Stony Brook-Frontal Fishers Island Sound",113.49,28044.42
"8952","8952","011000030304","CT","Niantic River",78.32,19353.47
"8953","8953","011000030305","CT","Fenger Brook-Frontal Long Island Sound",43.13,10658.07
"80906","80906","011000030306","CT","Pattagansett River-Frontal Long Island Sound",75.87,18748.84
"15536","15536","011000040101","CT","Eightmile River",38.35,9476.43
"80907","80907","011000040102","CT","Tenmile River",52.48,12967.3
"15537","15537","011000040103","CT","Headwaters Quinnipiac River",155.92,38529.41
"14857","14857","011000040104","CT","Muddy River",56.44,13947.68
"80908","80908","011000040105","CT","Outlet Quinnipiac River",126.01,31137.29
"53480","53480","011000040201","CT","Menunketesuck River",45.04,11128.43
"15538","15538","011000040202","CT","Hammonasset River-Frontal Clinton Harbor",126.28,31205.55
"80931","80931","011000040203","CT","East River-Frontal Guilford Harbor",80.35,19855.03
"80941","80941","011000040204","CT","West River-Frontal Guilford Harbor",47.03,11621.64
"80942","80942","011000040205","CT","Branford River",63.08,15586.73
"14858","14858","011000040206","CT","Farm River",66.2,16359.45
"53481","53481","011000040207","CT","Patchogue River-Frontal Westbrook Harbor",47.8,11810.89
"80943","80943","011000040208","CT","Indian River-Frontal Long Island Sound",102.37,25295.87
"8657","8657","011000040301","CT","Mill River",99.5,24585.83
"80944","80944","011000040302","CT","West River",89.34,22077.01
"80945","80945","011000040303","CT","Milford Harbor-Frontal Long Island Sound",85.87,21220.14
"8658","8658","011000040304","CT","Cove River-Frontal Long Island Sound",45.34,11203.19
"98738","98738","011000050203","CT,MA,NY","Hubbard Brook",129.81,32076.18
"987381","98738","011000050203","CT,MA,NY","Hubbard Brook",129.81,32076.18
"14910","14910","011000050204","CT,MA","Ironwork Brook-Housatonic River",110.94,27414.37
"149101","14910","011000050204","CT,MA","Ironwork Brook-Housatonic River",110.94,27414.37
"81144","81144","011000050301","CT,MA","Konkapot River",159.74,39473.38
"811441","81144","011000050301","CT,MA","Konkapot River",159.74,39473.38
"81145","81145","011000050302","CT,MA","Whiting River",48.96,12099.1
"811451","81145","011000050302","CT,MA","Whiting River",48.96,12099.1
"14911","14911","011000050303","CT,MA","Blackberry River",70.16,17336.48
"149111","14911","011000050303","CT,MA","Blackberry River",70.16,17336.48
"80946","80946","011000050304","CT","Hollenbeck River",111.11,27456.23
"81146","81146","011000050305","CT,MA,NY","Salmon Creek",98.47,24332.14
"811461","81146","011000050305","CT,MA,NY","Salmon Creek",98.47,24332.14
"14882","14882","011000050306","CT,MA","Carse Brook-Housatonic River",110.14,27215.57
"148821","14882","011000050306","CT,MA","Carse Brook-Housatonic River",110.14,27215.57
"81147","81147","011000050401","CT,NY","Macedonia Brook",45.49,11241.48
"81148","81148","011000050402","CT,NY","Furnace Brook-Housatonic River",160.48,39655.63
"15114","15114","011000050501","CT,NY","Headwaters Webatuck Creek",89.2,22040.78
"81149","81149","011000050502","CT,NY","Mudge Pond Brook",49.05,12119.31
"80292","80292","011000050503","CT,NY","Outlet Webatuck Creek",78.66,19436.18
"98628","98628","011000050506","CT,NY","Tenmile River",109.03,26941.86
"15115","15115","011000050601","CT,NY","Lake Candlewood",104.96,25936.15
"8659","8659","011000050602","CT","East Aspetuck River",65.44,16169.33
"80947","80947","011000050603","CT","West Aspetuck River",65.99,16305.91
"80291","80291","011000050604","CT,NY","Great Brook-Housatonic River",103.76,25638.44
"14856","14856","011000050701","CT","Headwaters Shepaug River",105.41,26047.7
"80948","80948","011000050702","CT","Bantam River",141.84,35048.2
"8660","8660","011000050703","CT","Outlet Shepaug River",155.35,38386.82
"80293","80293","011000050801","CT,NY","Headwaters Still River",102.48,25323.91
"81001","81001","011000050802","CT","Limekiln Brook-Still River",82.26,20327.24
"14897","14897","011000050803","CT","Lake Lillinonah-Housatonic River",118.44,29267.14
"14898","14898","011000050901","CT","Nonnewaug River",70.2,17347.9
"81000","81000","011000050902","CT","Weekeepeemee River",70.11,17324.38
"14899","14899","011000050903","CT","Pomperaug River",90.2,22290.09
"81002","81002","011000051001","CT","Pootatuck River",67.66,16719.8
"81003","81003","011000051002","CT","Eightmile Brook",45.18,11163.44
"14896","14896","011000051003","CT","Halfway River-Housatonic River",131.6,32518.77
"81004","81004","011000051101","CT","West Branch Naugatuck River",87.99,21743.26
"15543","15543","011000051102","CT","East Branch Naugatuck River",36.3,8969.63
"15549","15549","011000051103","CT","Leadmine Brook",64.05,15826.73
"81005","81005","011000051104","CT","Branch Brook",58.66,14495.37
"81006","81006","011000051105","CT","Northfield Brook-Naugatuck River",116.12,28692.7
"14903","14903","011000051201","CT","Hancock Brook",39.95,9872.91
"81007","81007","011000051202","CT","Steele Brook",44.14,10906.28
"81008","81008","011000051203","CT","Mad River",67.17,16596.84
"14904","14904","011000051204","CT","Hop Brook",45.07,11136
"81064","81064","011000051205","CT","Long Meadow Pond Brook-Naugatuck River",73.82,18242.33
"81066","81066","011000051206","CT","Little River",40.13,9917.49
"14905","14905","011000051207","CT","Bladens River-Naugatuck River",132.31,32693.39
