"","huc14","states","name","areasqkm","areaacres"
"1","19010406040103","AK","19010406040103-Fairweather Glacier",14.58,3602.39
"2","19020302140503","AK","19020302140503",14.85,3669.25
"3","19010406060104","AK","19010406060104-Brady Glacier",41.55,10267.9
"4","19010406020201","AK","19010406020201-Mount Watson",22.06,5451.9
"5","19020302110302","AK","19020302110302",6.2,1531.11
"6","19020302120502","AK","Schilter Creek",7.11,1757.16
"7","19010406020301","AK","19010406020301",33.87,8368.78
"8","19010210090402","AK","Aats Bay-Frontal Chatham Strait",10.76,2657.79
"9","19010210150601","AK","19010210150601",8.63,2133.27
"10","19010103050705","AK","19010103050705",4.38,1082.85
"11","19010210140206","AK","19010210140206",4.32,1066.46
"12","19010210020203","AK","Portage Bay-Frontal Frederick Sound",27.2,6721.9
"13","19010210140502","AK","19010210140502",6.87,1696.54
"14","19010210140504","AK","Lower Kushneahin Creek",17.73,4381.59
"15","19010210100416","AK","Spirit Creek",138.83,34305.06
"16","19010210040207","AK","Lower Kadake Creek",33.1,8178.72
"17","19010210090306","AK","Howard Cove",7.59,1875.62
"18","19010210090407","AK","Nation Point-Frontal Chatham Strait",74.98,18528.87
"19","19010210110603","AK","19010210110603",3.17,783.91
"20","19010406010302","AK","19010406010302",4.04,997.78
"21","02070010020116","MD","Drumeldra Hills-Northwest Branch Anacostia River",2.19,541.88
"22","19010210020101","AK","19010210020101-Hunt Peak",16.28,4022.76
"23","19010210040304","AK","Crane Creek",12.56,3103
"24","19010210020503","AK","19010210020503",10.05,2484.03
"25","19010210150904","AK","Fairway Island",8.14,2012.67
"26","19020302100602","AK","Lower Falls Creek",14.78,3653.03
"27","19010210040303","AK","19010210040303",11.94,2951.42
"28","19010210050202","AK","19010210050202",14.05,3471.67
"29","19010210020103","AK","19010210020103-Lockwood Peak",27.95,6905.62
"30","19010210020707","AK","Cape Bendel-Frontal Frederick Sound",95.13,23508.25
"31","19010210140501","AK","Upper Kushneahin Creek",16.81,4154.34
"32","19020302140606","AK","Bear Mountain-Kenai River",14.4,3558.55
"33","19010210150902","AK","Port McArthur",11.4,2816.13
"34","19010210150903","AK","Lemon Point-Frontal Sumner Strait",23.16,5723.46
"35","19010210100101","AK","Upper Petersburg Creek",29.4,7264.05
"36","19020302140605","AK","Surprise Creek",13.56,3351.12
"37","19020302100704","AK","Lower Trail Lake-Trail Creek",20.9,5164.26
"38","19010210110107","AK","North Arm Duncan Canal",41.72,10308.08
"39","19010210030602","AK","Mud Creek",16.97,4193.97
"40","19010210020704","AK","19010210020704",6.89,1701.33
"41","19010210100202","AK","19010210100202",3.91,966.44
"42","19010210110401","AK","Upper Duncan Creek",9.22,2278.16
"43","19010210020708","AK","Turnabout Island",10.99,2714.71
"44","19010210020706","AK","19010210020706",11.04,2726.83
"45","19010210020705","AK","19010210020705",5.59,1380.84
"46","19020302140504","AK","Lower Russian Lake-Russian River",26.77,6614.84
"47","19020302100503","AK","19020302100503",6.13,1513.8
"48","19020302140302","AK","Outlet Cooper Creek",15.38,3801.53
"49","19020302100501","AK","19020302100501",9.67,2390.3
"50","19010210040203","AK","Middle Kadake Creek",22.26,5499.84
"51","19010210150901","AK","19010210150901-Mount McArthur",2.94,726.87
"52","19010210020702","AK","19010210020702",4.38,1081.84
"53","19010210030201","AK","19010210030201",3.1,765.85
"54","19010210090307","AK","Crowley Bight-Frontal Chatham Strait",84.87,20971.77
"55","19010210140601","AK","19010210140601",4.07,1005.13
"56","19010210020701","AK","19010210020701",4.29,1061.03
"57","19010210150805","AK","19010210150805",3.47,856.39
"58","19010210140606","AK","19010210140606",5.51,1362.4
"59","19010210150804","AK","19010210150804",4.99,1233.9
"60","19010210150803","AK","19010210150803",3.2,789.64
"61","19010210110102","AK","19010210110102",8.73,2156.15
"62","19010210030204","AK","19010210030204",5.78,1427.95
"63","19010102090203","AK","Tamgas Harbor",44.82,11076.44
"64","19010103110302","AK","19010103110302",31.36,7749.86
"65","19010210140204","AK","19010210140204",3.98,983.91
"66","19010103160907","AK","19010103160907",9.07,2242.36
"67","19010103181205","AK","19010103181205",9.58,2366.9
"68","19010103100505","AK","Outlet Shaheen Creek",8.43,2083.54
"69","19010102010407","AK","19010102010407",7.05,1740.88
"70","19020302100506","AK","19020302100506-Solars Mountain",4.15,1025.48
"71","02070010020115","MD","Sherwood Forest",2.61,645.43
"72","19010103050408","AK","Twelvemile Arm",98.88,24434.83
"73","19020302120505","AK","Shackleford Creek",9.23,2280.59
"74","19020302100505","AK","19020302100505",8.99,2220.7
"75","19020302110402","AK","Dry Creek",10.53,2600.98
"76","19020302110301","AK","19020302110301",5.12,1264.82
"77","19020302110303","AK","Crescent Lake",43.96,10862.24
"78","19010102050310","AK","Shelter Cove",42.9,10601.57
"79","19010210020703","AK","19010210020703",6.2,1532.32
"80","19010103181004","AK","Essowah Harbor",3.53,872.97
"81","19010102050903","AK","19010102050903",6.82,1684.07
"82","19010103110902","AK","19010103110902",6.44,1591.98
"83","19010102030102","AK","19010102030102",13.93,3440.98
"84","19020302140601","AK","Town of Cooper Landing-Kenai River",17.43,4307.74
"85","19020302140603","AK","Round Mountain-Kenai River",43,10624.32
"86","19020302120506","AK","Bean Creek",6.41,1583.29
"87","19020302090102","AK","19020302090102-Snow River",42.07,10394.97
"88","19010102010302","AK","Upper Grace Creek",15.53,3837.78
"89","19010102050902","AK","19010102050902",3.82,945.15
"90","19010102050204","AK","19010102050204",13.74,3394.14
"91","19010210060508","AK","19010210060508",3.63,897.09
"92","19010102010404","AK","19010102010404",3.88,959.77
"93","19010103160105","AK","Soda Bay",46.21,11419.49
"94","19010103100806","AK","Salt Lake Bay",11.22,2772.39
"95","19010103140503","AK","Port Refugio-Frontal Ulloa Channel",25.88,6394.25
"96","19010103140616","AK","Bucareli Bay",475.69,117545.77
"97","19010210090101","AK","19010210090101",6.8,1681.2
"98","19010103050702","AK","19010103050702",8.4,2076.74
"99","19010103090903","AK","19010103090903",10.72,2648.74
"100","19010103100706","AK","Warm Chuck Inlet",36.61,9046.39
"101","19020302100504","AK","19020302100504",15.87,3920.88
"102","19020302110304","AK","Crescent Creek",28.72,7096.67
"103","19010103090606","AK","Barrier Islands-Frontal Sumner Strait",63.91,15793.14
"104","19020302140604","AK","Jean Creek",26.76,6613.7
"105","19020302100507","AK","Grant Lake",39.48,9755.18
"106","19020302140602","AK","19020302140602",12.18,3010.05
"107","19020302100502","AK","19020302100502",28.5,7042.94
"108","19020302060302","AK","Fuller Lake-Mystery Creek",16.92,4181.81
"109","19010102051002","AK","19010102051002",8.01,1979.76
"110","19010103100801","AK","Kaguk Cove-Frontal Tonowek Bay",6.1,1507.75
"111","19010102080201","AK","Mary Island-Revillagigedo Channel",32.77,8098.25
"112","19010210070103","AK","19010210070103",3.97,981.14
"113","19010103130401","AK","Upper Shinaku Creek",23.36,5772.18
"114","19010102030701","AK","19010102030701",5.86,1447.93
"115","19010103180901","AK","19010103180901",6.85,1693.04
"116","19010210060504","AK","19010210060504",5.72,1412.33
"117","02070010020117","MD","Upper Bel Pre Creek",5.77,1425.31
"118","19010103091104","AK","Fishermans Harbor-Frontal Sumner Strait",71.24,17603.77
"119","19020302060303","AK","19020302060303",13.99,3456.95
"120","19020302100702","AK","Carter Creek-Moose Creek",18.27,4515.39
"121","19020302140106","AK","Slaughter Creek",10.55,2607.42
"122","19010103160904","AK","Ham Cove",5.29,1308.27
"123","19010103050404","AK","Halfmile Creek",3.55,877.86
"124","19010103010302","AK","Galligan Creek",22.62,5590.38
"125","19010103031103","AK","19010103031103",5.52,1364.94
"126","19020302100201","AK","Upper Moose Creek",15.11,3734.37
"127","19020302110403","AK","Langille Mountain-Quartz Creek",27.44,6779.97
"128","19020302140105","AK","Shaft Creek",18.49,4570.14
"129","02070010020119","MD","Lower Bel Pre Creek",2.46,608.03
"130","19010102050304","AK","Licking Creek",16.68,4120.86
"131","19010103050407","AK","Wolf Lake",6.88,1701.25
"132","19010103091105","AK","19010103091105",3.32,820.91
"133","19010103031104","AK","19010103031104",5.9,1457.28
"134","19010103110703","AK","Cyrus Cove-Frontal Sea Otter Sound",5.56,1374.45
"135","02070010020121","MD","02070010020121",1.28,315.89
"136","19010103100302","AK","19010103100302",16.73,4133.33
"137","19010102050105","AK","19010102050105",21.61,5338.91
"138","19010102050507","AK","19010102050507",4.01,992.06
"139","19020302110401","AK","Daves Creek",37.33,9224.41
"140","19020302100203","AK","19020302100203",4.63,1144.83
"141","19020302090101","AK","19020302090101",24.74,6112.44
"142","19020302140107","AK","Lower Juneau Creek",23.3,5756.83
"143","19020302100204","AK","19020302100204",6.79,1678.29
"144","19010102050103","AK","19010102050103",18.14,4483.24
"145","19010103150201","AK","Hydaburg River",26.3,6499.76
"146","19010102030604","AK","Moser Bay",15.61,3857.59
"147","19010102100303","AK","Cape Northumberland-Frontal Clarence Strait",71.14,17578.99
"148","19010102030203","AK","Margaret Creek",28.16,6959.23
"149","19010102020104","AK","Outlet Cow Creek",15.99,3951.26
"150","19010102010201","AK","19010102010201",19.72,4872.11
"151","19010102020802","AK","19010102020802",11.6,2866.36
"152","19010103020104","AK","Cutthroat Lakes",26.59,6571.72
"153","19010103020103","AK","Control Lake",27.08,6691.52
"154","19010210070603","AK","19010210070603",3.96,977.64
"155","19020302100206","AK","19020302100206",23.94,5915.86
"156","19010103070508","AK","Moira Sound",103.38,25546.82
"157","19010102060308","AK","19010102060308",4.18,1033.38
"158","19020302100703","AK","Upper Trail Lake-Trail Creek",41.08,10150.08
"159","19020302100303","AK","19020302100303",20.72,5120.83
"160","19020302100202","AK","19020302100202",16.01,3956.27
"161","19020302110203","AK","Johns Creek",6.89,1703.09
"162","19020302060301","AK","Dike Creek",28.82,7120.66
"163","19010103160103","AK","19010103160103",21.93,5418.37
"164","19010103140302","AK","19010103140302",18.54,4582.01
"165","19010103100404","AK","Twin Mountain",5.89,1456.59
"166","19010102050303","AK","19010102050303",3.4,839.19
"167","19010102050306","AK","Calamity Creek",17.21,4252.75
"168","19010103181404","AK","19010103181404",6.21,1534.98
"169","19010102010202","AK","19010102010202",10.6,2619.2
"170","19010103150205","AK","19010103150205",4.52,1116.45
"171","19020302140104","AK","Falls Creek",28.63,7075.06
"172","19020302100302","AK","19020302100302",4.92,1216.35
"173","19010103030802","AK","Headwaters Ratz Creek",24.56,6069.02
"174","19010103090404","AK","Flicker Creek",21.02,5195.11
"175","19010103090501","AK","Baker Creek",4.11,1016.17
"176","02070010020120","MD","Pine Lake",3.01,743.84
"177","19010103030105","AK","Salmon Bay-Frontal Kashevarof Passage",8.46,2090.77
"178","19010103150110","AK","19010103150110",4,988.16
"179","19010103110303","AK","19010103110303",21.93,5419.78
"180","19010102030301","AK","19010102030301",2.1,519.11
"181","19010103050708","AK","Kasaan Island",4.03,995.69
"182","19010103090804","AK","Dry Pass-Frontal Shakan Bay",14.35,3545.25
"183","19010103090402","AK","19010103090402",5.5,1359.13
"184","19010102060310","AK","Thorne Arm",115.88,28634.73
"185","19020302060102","AK","Upper Thurman Creek",16.53,4085.4
"186","19020302100701","AK","19020302100701",10.9,2694.24
"187","19010102060102","AK","Middle Fish Creek",32.26,7970.83
"188","19010102030302","AK","19010102030302",6.65,1643.5
"189","19010103181102","AK","19010103181102",5.43,1341.61
"190","19020302100205","AK","Lower Moose Creek",11.78,2910.68
"191","19020302110102","AK","19020302110102",8.39,2073.68
"192","19020302100304","AK","Lark Mountain-Trail Creek",18.6,4594.97
"193","19010103110801","AK","Headwaters Charley Creek",17.8,4398.23
"194","19010103170101","AK","19010103170101",10.23,2527.71
"195","19010103181003","AK","Essowah Lakes",19.64,4853.18
"196","19020302110103","AK","Lower Devils Creek",20.37,5034.48
"197","19010103040306","AK","Cabin Creek",22.77,5627.47
"198","19010103080403","AK","19010103080403",5.44,1344.24
"199","19010210060501","AK","19010210060501",13.09,3235.8
"200","19010210060506","AK","19010210060506",3.79,937.68
"201","19020302100404","AK","19020302100404",6.86,1694.43
"202","19020302110201","AK","Headwaters Quartz Creek",22.92,5663.79
"203","02070010020123","MD","Town of Huntington",4.42,1093.37
"204","19010210030209","AK","Big John Bay-Frontal Rocky Pass",17.68,4369.59
"205","19010210110702","AK","19010210110702",22.62,5590.68
"206","19010210140603","AK","19010210140603",4.38,1082.67
"207","19010210140602","AK","19010210140602",3.99,985.4
"208","19020302100101","AK","Trail Glacier",20.81,5142.67
"209","19020302100405","AK","Outlet Johnson Creek",14.26,3523.79
"210","19020302110204","AK","Jerome Lake-Quartz Creek",24.23,5987.22
"211","19020302060104","AK","Middle Thurman Creek",15.95,3941.06
"212","19020302140102","AK","19020302140102",13.2,3261.9
"213","19010210060507","AK","19010210060507",5.59,1380.82
"214","19010210130301","AK","19010210130301",4.16,1028.04
"215","19010210120403","AK","Lower Kah Sheets Creek",6.35,1569.89
"216","19010210120501","AK","19010210120501",12.42,3070.11
"217","19010210040102","AK","19010210040102",11.69,2887.48
"218","19020302100301","AK","19020302100301-Trail Creek",31.64,7818.66
"219","19020302100103","AK","19020302100103",9.31,2299.84
"220","19020302140103","AK","Middle Juneau Creek",28.61,7070.84
"221","19010210110405","AK","Lower Duncan Creek",19.13,4727.15
"222","19010210130302","AK","19010210130302",17.67,4365.34
"223","19010210030601","AK","19010210030601",4.7,1162.47
"224","19010210130401","AK","19010210130401",3.37,832.73
"225","19010210140609","AK","Keku Strait",242.06,59814.59
"226","19020302100403","AK","19020302100403",6.78,1676.09
