"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"85682","85682","010100020101","ME","Smith Brook",71.09,17565.66,"ME"
"85685","85685","010100020102","ME","Russell Brook",81.15,20053.75,"ME"
"85686","85686","010100020103","ME","Soper Brook",75.39,18630.05,"ME"
"85687","85687","010100020104","ME","Snare Brook",57.66,14247.13,"ME"
"80423","80423","010100020105","ME","Woodman Brook-Eagle Lake",152.62,37714.37,"ME"
"23995","23995","010100020201","ME","Thoroughfare Brook",109.21,26987.54,"ME"
"85688","85688","010100020202","ME","North Twin Brook",50.58,12498.43,"ME"
"85736","85736","010100020203","ME","Pleasant Stream",49.28,12177.82,"ME"
"80424","80424","010100020204","ME","Churchill Lake",126.51,31262.4,"ME"
"33612","33612","010100020301","ME","Ross Inlet",40.65,10045.39,"ME"
"33617","33617","010100020302","ME","Fool Brook",40.98,10126.75,"ME"
"33618","33618","010100020303","ME","Chemquasabamticook Lake",69.79,17244.36,"ME"
"33619","33619","010100020304","ME","Clayton Lake",158.65,39202.16,"ME"
"85737","85737","010100020305","ME","Priestly Brook",64.39,15910.61,"ME"
"33628","33628","010100020306","ME","Holmes Brook",45.97,11358.78,"ME"
"33629","33629","010100020307","ME","Cunliffe Brook",53.29,13169.25,"ME"
"85738","85738","010100020308","ME","Chemquasabamticook Stream",81.77,20204.71,"ME"
"85739","85739","010100020401","ME","Harrow Lake-Harrow Brook",65.31,16137.24,"ME"
"23996","23996","010100020402","ME","Priestly Lake-Drake Brook",47.09,11635.88,"ME"
"23997","23997","010100020403","ME","Upper Allagash River",114.02,28174.99,"ME"
"85741","85741","010100020404","ME","Glazier Brook",58.9,14554.33,"ME"
"85742","85742","010100020405","ME","Shepherd Brook",45.86,11333.36,"ME"
"85743","85743","010100020406","ME","Grey Brook-Long Lake",40.82,10087.76,"ME"
"85744","85744","010100020501","ME","Third Musquacook Lake",91.66,22649.76,"ME"
"85805","85805","010100020502","ME","First Musquacook Lake",104.01,25700.87,"ME"
"85806","85806","010100020503","ME","Little Musquacook Stream",47.33,11694.4,"ME"
"85807","85807","010100020504","ME","Robbins Brook",77.2,19077.32,"ME"
"85801","85801","010100020505","ME","Musquacook Stream",81.47,20131.95,"ME"
"33630","33630","010100020601","ME","Conners Brook",42.64,10536.6,"ME"
"33631","33631","010100020602","ME","Big Brook",220.7,54535.17,"ME"
"33632","33632","010100020701","ME","Harding Brook",36.94,9127.38,"ME"
"33625","33625","010100020702","ME","Whittaker Brook",42.14,10412.33,"ME"
"33626","33626","010100020703","ME","Schedule Brook",66.23,16364.54,"ME"
"85808","85808","010100020704","ME","Middle Allagash River",152.31,37637.79,"ME"
"85796","85796","010100020705","ME","Five Finger Brook",80.97,20009.05,"ME"
"33627","33627","010100020706","ME","Ben Glazier Brook",45.82,11322.54,"ME"
"85797","85797","010100020707","ME","Ramsay Brook",30.18,7457.37,"ME"
"33620","33620","010100020708","ME","Farm Brook",44.05,10885.6,"ME"
"85798","85798","010100020709","ME","McKeen Brook",58.35,14418.24,"ME"
"33633","33633","010100020710","ME","West Twin Brook",45.21,11171.47,"ME"
"33634","33634","010100020711","ME","Lower Allagash River",230.18,56879.82,"ME"
"85874","85874","010100030101","ME","Fox Brook",79.18,19566.89,"ME"
"23999","23999","010100030102","ME","Clayton Lake-Fish River",99.02,24469.28,"ME"
"85875","85875","010100030103","ME","Smith Brook",45.51,11245.77,"ME"
"24000","24000","010100030104","ME","North Pond Brook-Chase Brook",64.69,15986.45,"ME"
"24001","24001","010100030105","ME","Fish River Lake-Fish River",45.44,11228.76,"ME"
"85849","85849","010100030201","ME","Chase Brook",41.26,10194.48,"ME"
"85878","85878","010100030202","ME","Mosquito Brook",41.13,10163.63,"ME"
"23998","23998","010100030203","ME","Portage Lake-Fish River",160.4,39636,"ME"
"33635","33635","010100030204","ME","Rocky Brook",76.26,18843.8,"ME"
"33636","33636","010100030205","ME","Red River",159.29,39360.35,"ME"
"33637","33637","010100030206","ME","Birch River",114.03,28176.9,"ME"
"24002","24002","010100030207","ME","Saint Froid Lake-Fish River",121.61,30050.03,"ME"
"86453","86453","010100030301","ME","McLean Brook",33.57,8295.49,"ME"
"33638","33638","010100030302","ME","Long Lake",195.14,48220.61,"ME"
"86829","86829","010100030303","ME","Mud Lake",34.04,8412.6,"ME"
"33639","33639","010100030304","ME","Dickey Brook",67.94,16787.11,"ME"
"80425","80425","010100030305","ME","Daigle Brook",40.75,10069.31,"ME"
"86787","86787","010100030306","ME","Cross Lake",52.42,12952.58,"ME"
"86789","86789","010100030307","ME","Little Goddard Brook",36.99,9139.91,"ME"
"86790","86790","010100030308","ME","Goddard Brook",71.08,17563.81,"ME"
"86791","86791","010100030309","ME","Square Lake",120.06,29667.59,"ME"
"24003","24003","010100030310","ME","Eagle Lake-Fish River",258.59,63899.07,"ME"
"33640","33640","010100030401","ME","Wallagrass Stream",176.75,43674.66,"ME"
"33654","33654","010100030402","ME","Perley Brook",52.56,12986.82,"ME"
