"","X","huc12","states","name","areasqkm","areaacres"
"46770","46770","220201030000",NA,"Aguijan Island",174.06,43010.55
"46778","46778","220202100000",NA,"Farallon de Medinilla",132.5,32742.3
"46780","46780","220202030000",NA,"Asuncion Island",164.35,40612.92
"46785","46785","220202020000",NA,"Maug Islands",157.52,38923.69
"46786","46786","220202010000",NA,"Farallon de Pajaros",132.6,32765.97
"46804","46804","220202070000",NA,"Guguan Island",146.56,36216.88
"46808","46808","220202060000",NA,"Alamagan Island",188.56,46593.05
"46813","46813","220400060000",NA,"Howland Island",138.76,34288.55
"46870","46870","220201010101",NA,"Saddock Talofofo-Frontal Pacific Ocean",23.67,5849.13
"46871","46871","220201010102",NA,"Kannat Taddong Laolao-Frontal Pacific Ocean",13.83,3416.44
"46872","46872","220201010103",NA,"Hagoi Susupe-Frontal Phillippine Sea",40.56,10021.56
"46873","46873","220201010104",NA,"Kannat Laremies-Frontal Phillippine Sea",41.18,10176.21
"46874","46874","220201010200",NA,"Bahia Laolao-Pacific Ocean",468.11,115672.28
"46875","46875","220201020000",NA,"Tinian Island",440.19,108772.68
"46877","46877","220201040000",NA,"Rota Island",450.91,111423.4
"46878","46878","220202090000",NA,"Anatahan Island",272.2,67260.95
"46879","46879","220202080000",NA,"Sarigan Island",150.43,37170.98
"46880","46880","220202050000",NA,"Pagan Island",376.63,93066.77
"46881","46881","220202040000",NA,"Agrihan Island",291.07,71925.5
"47298","47298","220400070000",NA,"Baker Island",129.23,31934.05
"47309","47309","220400020000",NA,"Johnston Atoll",318.61,78729.73
"47312","47312","220400010000",NA,"Wake Island",232.37,57418.78
"47314","47314","220400050000",NA,"Jarvis Island",153.08,37827.54
"47315","47315","220400040000",NA,"Palmyra Atoll",270.07,66735.47
"47533","47533","220400030000",NA,"Kingman Reef",214.62,53032.94
"81168","81168","210200010300","","Pillsbury Sound-Caribbean Sea",913.25,225668.08
"81518","81518","210200010104","","Southwestern St. Thomas",23.96,5920.16
"102200","102200","200900090000","","Midway Islands",354.07,87493.25
"103182","103182","","","",NA,NA
"103184","103184","","","",NA,NA
"103186","103186","","","",NA,NA
"103187","103187","","","",NA,NA
"103188","103188","","","",NA,NA
"103189","103189","","","",NA,NA
"103192","103192","","","",NA,NA
"103193","103193","","","",NA,NA
"103198","103198","","","",NA,NA
"103201","103201","","","",NA,NA
"103206","103206","","","",NA,NA
"103242","103242","","","",NA,NA
"103243","103243","","","",NA,NA
"103246","103246","","","",NA,NA
"103268","103268","","","",NA,NA
"103269","103269","","","",NA,NA
"103270","103270","","","",NA,NA
"103271","103271","","","",NA,NA
"103272","103272","","","",NA,NA
"103273","103273","","","",NA,NA
"103274","103274","","","",NA,NA
"103275","103275","","","",NA,NA
"103276","103276","","","",NA,NA
"103277","103277","","","",NA,NA
"103278","103278","","","",NA,NA
"103279","103279","","","",NA,NA
"103280","103280","","","",NA,NA
"103281","103281","","","",NA,NA
"103282","103282","","","",NA,NA
"103283","103283","","","",NA,NA
"103284","103284","","","",NA,NA
"103285","103285","","","",NA,NA
"103286","103286","","","",NA,NA
"103287","103287","","","",NA,NA
"103288","103288","","","",NA,NA
"103289","103289","","","",NA,NA
"103290","103290","","","",NA,NA
"103291","103291","","","",NA,NA
"103292","103292","","","",NA,NA
"103293","103293","","","",NA,NA
"103294","103294","","","",NA,NA
"103295","103295","","","",NA,NA
"103296","103296","","","",NA,NA
"103297","103297","","","",NA,NA
"103298","103298","","","",NA,NA
"103299","103299","","","",NA,NA
"103300","103300","","","",NA,NA
"103301","103301","","","",NA,NA
"103302","103302","","","",NA,NA
"103303","103303","","","",NA,NA
"103304","103304","","","",NA,NA
"103305","103305","","","",NA,NA
"103306","103306","","","",NA,NA
"103307","103307","","","",NA,NA
"103308","103308","","","",NA,NA
"103309","103309","","","",NA,NA
"103310","103310","","","",NA,NA
"103311","103311","","","",NA,NA
"103312","103312","","","",NA,NA
"103313","103313","","","",NA,NA
"103314","103314","","","",NA,NA
"103315","103315","","","",NA,NA
"103316","103316","","","",NA,NA
"103317","103317","","","",NA,NA
"103318","103318","","","",NA,NA
"103319","103319","","","",NA,NA
"103320","103320","","","",NA,NA
"103321","103321","","","",NA,NA
"103322","103322","","","",NA,NA
"103323","103323","","","",NA,NA
"103324","103324","","","",NA,NA
"103325","103325","","","",NA,NA
"103326","103326","","","",NA,NA
"103327","103327","","","",NA,NA
"103328","103328","","","",NA,NA
"103329","103329","","","",NA,NA
"103330","103330","","","",NA,NA
"103331","103331","","","",NA,NA
"103332","103332","","","",NA,NA
"103333","103333","","","",NA,NA
"103334","103334","","","",NA,NA
"103335","103335","","","",NA,NA
"103336","103336","","","",NA,NA
"103337","103337","","","",NA,NA
"103338","103338","","","",NA,NA
"103339","103339","","","",NA,NA
"103340","103340","","","",NA,NA
"103341","103341","","","",NA,NA
"103342","103342","","","",NA,NA
"103343","103343","","","",NA,NA
"103344","103344","","","",NA,NA
"103345","103345","","","",NA,NA
"103346","103346","","","",NA,NA
"103347","103347","","","",NA,NA
"103348","103348","","","",NA,NA
"103349","103349","","","",NA,NA
"103350","103350","","","",NA,NA
"103351","103351","","","",NA,NA
"103352","103352","","","",NA,NA
"103353","103353","","","",NA,NA
