"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"1","010100020101",93.3813917972744,52007.3560687378,69543064.3021479
"2","010100020102",97.4467613132209,50268.5007757592,81154635.4303668
"3","010100020103",98.1335634912073,60381.7070189166,75085127.5639738
"4","010100020104",100,45466.2060686088,57656094.4860681
"5","010100020105",75.2091830788952,87442.5485796969,154475264.876171
"6","010100020201",100,63706.0988166905,109180947.878462
"7","010100020202",90.464408408836,42087.9823606249,50579368.2114038
"8","010100020203",90.9514243973703,46035.4952978112,49281913.7623153
"9","010100020204",88.1785978489729,70863.2146512064,126514466.85474
"10","010100020301",100,31502.3806894525,40652247.0633285
"11","010100020302",100,31399.6862943549,41047993.8484439
"12","010100020303",83.1292569559787,52340.7603239662,69894867.2379023
"13","010100020304",99.6788889330149,66701.0416723707,158645509.507379
"14","010100020305",100,48120.0247112865,64222200.8593615
"15","010100020306",100,39791.9349046187,45967345.2706845
"16","010100020307",98.5223089134326,38019.3138668604,53294045.1361643
"17","010100020308",99.9284684545885,75079.4110613293,81765579.2328769
"18","010100020401",97.2407672878695,40602.8306032702,65931619.1538978
"19","010100020402",94.3459465635772,37570.1943179824,47254485.099293
"20","010100020403",95.0221827157358,77705.6656035351,113393602.27421
"21","010100020404",100,42665.0162541956,58899264.8740904
"22","010100020405",99.9418021272326,34756.9853767988,44865639.2406162
"23","010100020406",90.8277019756381,39362.6430971651,41822571.7646358
"24","010100020501",89.8238689915174,61454.0829681436,91660310.9790182
"25","010100020502",94.3055147503586,59152.3881393664,104154486.765461
"26","010100020503",99.9486487000514,38636.837396751,47325568.2861637
"27","010100020504",99.8938923998974,46064.8137504083,77203174.9946588
"28","010100020505",99.7856850896477,60698.6732125762,81471127.886208
"29","010100020601",95.7286592499628,37401.4492651145,42298958.8084645
"30","010100020602",99.7053249373357,112118.609373166,220810482.474317
"31","010100020701",100,37163.2849964474,36805553.911575
"32","010100020702",100,34765.2761777221,42268869.1926838
"33","010100020703",100,45272.6882186121,66224941.4039691
"34","010100020704",96.5504407212232,89724.6763726349,152314727.040934
"35","010100020705",99.9010979241677,49304.5320974296,80973773.2451439
"36","010100020706",99.9255179442953,37644.0263967795,45904011.2631904
"37","010100020707",99.8843313462052,31694.636432441,30337449.3687983
"38","010100020708",99.9381137057513,36321.445624038,43632151.1096011
"39","010100020709",98.9804889334464,44265.4235521892,58348548.2164524
"40","010100020710",99.9820827775676,34230.9924647819,45209333.7855058
"41","010100020711",98.0145562685866,141982.775125547,230025888.299219
"42","010100030101",100,45765.3380837847,79184376.9289459
"43","010100030102",97.242100627546,62603.7959664191,98107782.6541333
"44","010100030103",100,34894.039557427,45510002.4218278
"45","010100030104",97.9568608944286,48308.0065536008,64846711.055601
"46","010100030105",77.0513556871522,41912.1879878062,45441201.1665604
"47","010100030201",100,36527.9748285891,40331862.8504693
"48","010100030202",99.542789639482,36243.4305947364,41130730.9482136
"49","010100030203",93.9440003643734,93324.0713092143,158092657.576247
"50","010100030204",99.9504272697229,53675.640709972,76258168.9502963
"51","010100030205",97.5586843832764,94801.6992500769,159035079.994536
"52","010100030206",99.981847742017,58134.0491199917,114027893.08964
"53","010100030207",91.9570456426672,73170.8426186338,122866030.958319
"54","010100030301",99.9356861484042,29454.0880182121,33570632.6006318
"55","010100030302",85.7218437021259,106184.001857223,195633453.434615
"56","010100030303",88.4349964305545,30791.3318606566,34044577.7938013
"57","010100030304",99.6015354168604,46357.0869832761,67762559.9672399
"58","010100030305",99.7085063156965,37146.584879109,40749051.4653054
"59","010100030306",80.6960015108074,36158.2625954948,52417217.5047288
"60","010100030307",100,33596.9466973078,36987920.1423403
"61","010100030308",99.6976464093943,48408.6949559706,71740967.8354017
"62","010100030309",72.2425051165371,70040.5869316798,120060465.750059
"63","010100030310",90.869701617401,89623.1462280424,258189943.138977
"64","010100030401",98.9259705024377,87415.9385911954,176482729.785701
"65","010100030402",99.6766633021402,45174.8712777873,52616271.2809072
"66","010100030403",98.267654560178,80826.8261435526,118926534.36906
"67","010100040101",98.2145720853157,57663.6469874756,67323740.0871567
"68","010100040102",89.6663432470792,76225.2888672611,112239107.464815
"69","010100040103",87.689594356261,46894.8892004615,61229703.5279846
"70","010100040104",99.3176040319344,39013.7140335513,40364265.3736814
"71","010100040201",96.8372705375443,55437.111299726,120317455.340151
"72","010100040202",92.7460773480663,57729.6205499176,101821544.514958
"73","010100040203",99.5258177122218,51627.8070443851,89206600.6176304
"74","010100040301",99.2798353909465,51414.2268398961,79618823.5902584
"75","010100040302",99.9904434250764,35030.5081384124,47086359.1676297
"76","010100040303",96.7551647031339,64363.7906374498,107844569.762031
"77","010100040304",99.8883780766975,38160.3551703628,47575376.9486532
"78","010100040305",97.3423141186299,41653.6416015722,68951279.9419703
"79","010100040306",99.9209897078699,73066.6042294839,86590173.0064041
"80","010100040401",98.3115775104513,65352.5040974049,105476756.228126
"81","010100040402",96.8353743540942,72277.7759272221,107812128.891307
"82","010100040501",99.9147724922013,63226.556428666,108782677.084925
"83","010100040502",98.1674708659223,57209.448311344,103329577.432097
"84","010100040503",99.9727920126813,52313.3195353239,76076894.2231967
"85","010100040504",99.8948345190226,39221.3672171146,43653110.0421895
"86","010100040505",99.8240013803813,61983.9045734827,104321329.539441
"87","010100040506",99.3410704627888,98273.9585357609,181365497.976855
"88","010100040601",98.1531376482178,45977.4625112498,75828351.7498776
"89","010100040602",100,45836.5582125979,43345051.8271011
"90","010100040603",99.6367424524281,116276.215840806,133052822.029158
"91","010100040604",100,38672.6093069481,46950178.9199128
"92","010100040605",99.9843428469178,36649.3693071484,40242073.9917498
"93","010100040606",98.8133262015741,88377.9572022563,117785413.906436
"94","010100040701",99.2030320204024,71185.6156733742,127037107.659349
"95","010100040702",98.0749305687538,85630.0771522269,146808178.960677
"96","010100040703",97.391956118086,64578.4186208703,105654977.047996
"97","010100040801",99.0061886427319,55422.2249280914,89257506.975976
"98","010100040802",99.9859845830413,34365.8361348939,44952779.8829971
"99","010100040803",100,31517.2961501734,39116520.5577115
