"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"21414","21414","010400010201","ME,NH","Swift Cambridge River",92.05,22747.05,"NH"
"214141","21414","010400010201","ME,NH","Swift Cambridge River",92.05,22747.05,"NH"
"22867","22867","010400010203","ME,NH","Umbagog Lake",150.63,37222.61,"NH"
"228671","22867","010400010203","ME,NH","Umbagog Lake",150.63,37222.61,"NH"
"43266","43266","010400010302","CN,ME,NH","West Branch Magalloway River",68.48,16921.55,"NH"
"432661","43266","010400010302","CN,ME,NH","West Branch Magalloway River",68.48,16921.55,"NH"
"43070","43070","010400010303","CN,ME,NH","Parmachenee Lake",144.77,35774.41,"NH"
"430701","43070","010400010303","CN,ME,NH","Parmachenee Lake",144.77,35774.41,"NH"
"21005","21005","010400010304","ME,NH","Little Magalloway River",69.08,17069.5,"NH"
"210051","21005","010400010304","ME,NH","Little Magalloway River",69.08,17069.5,"NH"
"21080","21080","010400010305","ME,NH","Aziscohos Lake",211.61,52290.09,"NH"
"210801","21080","010400010305","ME,NH","Aziscohos Lake",211.61,52290.09,"NH"
"21076","21076","010400010306","ME,NH","Abbott Brook-Magalloway River",78.71,19448.68,"NH"
"210761","21076","010400010306","ME,NH","Abbott Brook-Magalloway River",78.71,19448.68,"NH"
"21079","21079","010400010401","NH","Middle Branch Dead Diamond River",72.97,18032.36,"NH"
"21078","21078","010400010402","NH","West Branch Dead Diamond",42.45,10490.54,"NH"
"16774","16774","010400010403","NH","Nathan Pond Brook-Swift Diamond River",74.27,18352.53,"NH"
"22833","22833","010400010404","NH","Swift Diamond River",102.78,25396.89,"NH"
"20842","20842","010400010405","NH","Dead Diamond River",103.99,25697.03,"NH"
"20838","20838","010400010406","ME,NH","Sturtevant Stream-Magalloway River",108.85,26897.33,"NH"
"208381","20838","010400010406","ME,NH","Sturtevant Stream-Magalloway River",108.85,26897.33,"NH"
"22864","22864","010400010501","NH","Millsfield Pond Brook",43.29,10696.33,"NH"
"20836","20836","010400010502","NH","Clear Stream",122.63,30303.68,"NH"
"21417","21417","010400010601","ME,NH","Mollidgewock Brook",71.24,17602.83,"NH"
"214171","21417","010400010601","ME,NH","Mollidgewock Brook",71.24,17602.83,"NH"
"22865","22865","010400010602","NH","Bog Brook-Androscoggin River",216.48,53492.68,"NH"
"22826","22826","010400010603","ME,NH","Chickwolnepy Stream-Androscoggin Rvier",124.32,30719.1,"NH"
"228261","22826","010400010603","ME,NH","Chickwolnepy Stream-Androscoggin Rvier",124.32,30719.1,"NH"
"100236","100236","010400010604","ME,NH","Stearns Brook",96.24,23781.31,"NH"
"1002361","100236","010400010604","ME,NH","Stearns Brook",96.24,23781.31,"NH"
"100239","100239","010400010605","NH","Horne Brook-Androscoggin River",104.7,25872.23,"NH"
"100241","100241","010400010606","NH","Dead River-Androscoggin River",83.35,20597.44,"NH"
"100307","100307","010400020101","NH","Moose Brook-Androscoggin River",44.91,11098.72,"NH"
"100242","100242","010400020102","NH","Peabody River",120.53,29783.85,"NH"
"100244","100244","010400020103","ME,NH","Lary Brook-Androscoggin River",174.75,43181.18,"NH"
"1002441","100244","010400020103","ME,NH","Lary Brook-Androscoggin River",174.75,43181.18,"NH"
"100245","100245","010400020104","NH","Moose River",60.66,14988.7,"NH"
"100246","100246","010400020201","ME,NH","Wild River",181.79,44920.74,"NH"
"1002461","100246","010400020201","ME,NH","Wild River",181.79,44920.74,"NH"
"100251","100251","010600020101","NH","Headwaters Saco River",74.97,18526.65,"NH"
"100253","100253","010600020102","NH","Sawyer River",61.07,15090.1,"NH"
"100254","100254","010600020103","NH","Rocky Branch",58.53,14463.07,"NH"
"100256","100256","010600020104","NH","Wildcat Brook",60.16,14864.73,"NH"
"100258","100258","010600020105","NH","Ellis River",88.74,21928.81,"NH"
"100260","100260","010600020106","NH","Bartlett Brook-Saco River",102.03,25210.95,"NH"
"100262","100262","010600020107","NH","Dry River",47.41,11716.41,"NH"
"100264","100264","010600020201","NH","Headwaters Swift River",85.86,21216.33,"NH"
"100266","100266","010600020202","NH","Oliverian Brook-Swift River",79.27,19587.68,"NH"
"100268","100268","010600020203","NH","Pequawket Brook",70.28,17366.37,"NH"
"100270","100270","010600020204","NH","Swift River",61.23,15131.14,"NH"
"100271","100271","010600020301","NH","East Branch Saco River",102.51,25331.31,"NH"
"100273","100273","010600020302","NH","Kearsarge Brook-Saco River",99.68,24630.77,"NH"
"100275","100275","010600020303","NH","Conway Lake-Saco River",90.83,22444.42,"NH"
"100277","100277","010600020304","ME,NH","Weeks Brook-Saco River",74.44,18394.68,"NH"
"1002771","100277","010600020304","ME,NH","Weeks Brook-Saco River",74.44,18394.68,"NH"
"100279","100279","010600020401","ME,NH","Charles River",195.81,48385.01,"NH"
"1002791","100279","010600020401","ME,NH","Charles River",195.81,48385.01,"NH"
"22747","22747","010600020404","ME,NH","Old Course Saco River-Saco River",61.18,15118.94,"NH"
"227471","22747","010600020404","ME,NH","Old Course Saco River-Saco River",61.18,15118.94,"NH"
"22745","22745","010600020405","ME,NH","Shepards River",69.44,17158.95,"NH"
"227451","22745","010600020405","ME,NH","Shepards River",69.44,17158.95,"NH"
"21301","21301","010600020406","ME,NH","Lovewell Pond-Saco River",116.19,28709.99,"NH"
"213011","21301","010600020406","ME,NH","Lovewell Pond-Saco River",116.19,28709.99,"NH"
"100282","100282","010600020601","NH","Upper Bearcamp River",58.84,14539.03,"NH"
"100284","100284","010600020602","NH","Cold River",81.02,20021.1,"NH"
"100285","100285","010600020603","NH","Mill Brook-Swift River",120.36,29742.02,"NH"
"100287","100287","010600020604","NH","Chocorua River",57.83,14288.88,"NH"
"22877","22877","010600020605","NH","Lower Bearcamp River",77.44,19136.27,"NH"
"21503","21503","010600020701","NH","Beech River",48.73,12042.43,"NH"
"21296","21296","010600020702","NH","Dan Hole River-Beech River",39.47,9753.36,"NH"
"21295","21295","010600020703","NH","Pine River",142.65,35248.32,"NH"
"22884","22884","010600020801","NH","West Branch",67.37,16647.06,"NH"
"22838","22838","010600020802","NH","Lovell River-Ossipee Lake",76.21,18831.35,"NH"
"21505","21505","010600020803","NH","Danforth Ponds",48.24,11919.75,"NH"
"22875","22875","010600020804","NH","Ossipee Lake-Ossipee River",36.55,9031.31,"NH"
"22879","22879","010600020901","ME,NH","Loon Lake-Ossipee River",49.52,12235.69,"NH"
"228791","22879","010600020901","ME,NH","Loon Lake-Ossipee River",49.52,12235.69,"NH"
"22663","22663","010600020902","ME,NH","South River",81.42,20118.44,"NH"
"226631","22663","010600020902","ME,NH","South River",81.42,20118.44,"NH"
"6952","6952","010600020903","ME,NH","Mill Brook",36.22,8951.04,"NH"
"69521","6952","010600020903","ME,NH","Mill Brook",36.22,8951.04,"NH"
"6949","6949","010600020904","ME,NH","Great Brook-Ossipee River",57.33,14167.65,"NH"
"69491","6949","010600020904","ME,NH","Great Brook-Ossipee River",57.33,14167.65,"NH"
"22657","22657","010600021001","ME,NH","Shapleigh Pond",56.28,13908.13,"NH"
"226571","22657","010600021001","ME,NH","Shapleigh Pond",56.28,13908.13,"NH"
"21407","21407","010600021002","ME,NH","Rock Haven Lake-Little Ossipee River",122.11,30173.83,"NH"
"214071","21407","010600021002","ME,NH","Rock Haven Lake-Little Ossipee River",122.11,30173.83,"NH"
"21889","21889","010600030501","NH","Headwaters Branch River",74.39,18382.93,"NH"
"21914","21914","010600030502","NH","Branch River",70.84,17503.81,"NH"
"21981","21981","010600030503","ME,NH","Headwaters Salmon Falls River",71.77,17733.77,"NH"
"219811","21981","010600030503","ME,NH","Headwaters Salmon Falls River",71.77,17733.77,"NH"
"21913","21913","010600030504","ME,NH","Upper Salmon Falls River",60.16,14865.72,"NH"
"219131","21913","010600030504","ME,NH","Upper Salmon Falls River",60.16,14865.72,"NH"
"21171","21171","010600030506","ME,NH","Middle Salmon Falls River",154.67,38219.07,"NH"
"211711","21171","010600030506","ME,NH","Middle Salmon Falls River",154.67,38219.07,"NH"
"22995","22995","010600030507","ME,NH","Lower Salmon Falls River",56.11,13865.78,"NH"
"229951","22995","010600030507","ME,NH","Lower Salmon Falls River",56.11,13865.78,"NH"
"21176","21176","010600030601","NH","Upper Cocheco River",111.93,27657.75,"NH"
"20474","20474","010600030602","NH","Axe Handle Brook",29.93,7396.99,"NH"
"21169","21169","010600030603","NH","Middle Cocheco River",65.97,16300.65,"NH"
"21572","21572","010600030604","NH","Bow Lake",36.93,9125.15,"NH"
"22999","22999","010600030605","NH","Nippo Brook-Isinglass River",70.37,17389.19,"NH"
"20479","20479","010600030606","NH","Long Pond",41.09,10152.77,"NH"
"21519","21519","010600030607","NH","Isinglass River",43.41,10727.07,"NH"
"21441","21441","010600030608","NH","Lower Cocheco River",81.19,20062.13,"NH"
"22870","22870","010600030701","NH","Headwaters Lamprey River",88.74,21927.81,"NH"
"23180","23180","010600030702","NH","North Branch River",44.71,11047.51,"NH"
"21771","21771","010600030703","NH","Pawtuckaway River-Lamprey River",106.12,26222.33,"NH"
"22647","22647","010600030704","NH","Pawtuckaway Pond",52.82,13052.75,"NH"
"22871","22871","010600030705","NH","Bean River-North River",60.99,15072.15,"NH"
"21971","21971","010600030706","NH","North River",35.82,8851.23,"NH"
"22873","22873","010600030707","NH","Little River",52.38,12943.97,"NH"
"21775","21775","010600030708","NH","Piscassic River",58.72,14510.11,"NH"
"21972","21972","010600030709","NH","Lamprey River",53.38,13190.82,"NH"
"22269","22269","010600030801","NH","Headwaters Exeter River",82.6,20411.5,"NH"
"21561","21561","010600030802","NH","Watson Brook-Exeter River",42.8,10575.21,"NH"
"21508","21508","010600030803","NH","Spruce Swamp-Exeter River",61.44,15181.08,"NH"
"23179","23179","010600030804","NH","Scamen Brook-Little River",41.06,10147.29,"NH"
"21401","21401","010600030805","NH","Exeter River-Squamscott River",50.03,12363.01,"NH"
"21567","21567","010600030806","NH","Squamscott River",52.56,12988.48,"NH"
"21563","21563","010600030901","NH","Winnicut River",45.13,11151.01,"NH"
"22646","22646","010600030902","NH","Oyster River",80.37,19859.5,"NH"
"22996","22996","010600030903","NH","Bellamy River",87.46,21611.46,"NH"
"21969","21969","010600030904","NH","Great Bay",77.79,19223.02,"NH"
"22648","22648","010600031001","ME,NH","Piscataqua River-Frontal Portsmouth Harbor",123.03,30401.63,"NH"
"226481","22648","010600031001","ME,NH","Piscataqua River-Frontal Portsmouth Harbor",123.03,30401.63,"NH"
"21566","21566","010600031002","NH","Berrys Brook-Frontal Rye Harbor",42.97,10617.27,"NH"
"21399","21399","010600031003","NH","Taylor River",59.29,14651.63,"NH"
"81515","81515","010600031004","ME,NH","Rye Harbor-Atlantic Ocean",131.64,32528.07,"NH"
"815151","81515","010600031004","ME,NH","Rye Harbor-Atlantic Ocean",131.64,32528.07,"NH"
"23177","23177","010600031005","MA,NH","Hampton River",78.51,19399.46,"NH"
"231771","23177","010600031005","MA,NH","Hampton River",78.51,19399.46,"NH"
"11013","11013","010600031006","MA,NH","Hampton Harbor Inlet-Atlantic Ocean",92.63,22888.96,"NH"
"110131","11013","010600031006","MA,NH","Hampton Harbor Inlet-Atlantic Ocean",92.63,22888.96,"NH"
"81497","81497","010600031106","ME,NH","York Harbor-Atlantic Ocean",402.28,99405.17,"NH"
"814971","81497","010600031106","ME,NH","York Harbor-Atlantic Ocean",402.28,99405.17,"NH"
"100288","100288","010700010101","NH","North Fork East Branch Pemigewasset River",42.77,10569.74,"NH"
"100290","100290","010700010102","NH","Cedar Brook-East Branch Pemigewasset River",81.94,20247.91,"NH"
"100292","100292","010700010103","NH","Franconia Branch",66.89,16528.04,"NH"
"100294","100294","010700010104","NH","East Branch Pemigewasset River",110.11,27208.41,"NH"
"100295","100295","010700010201","NH","Headwaters Pemigewasset River",91.26,22551.66,"NH"
"100269","100269","010700010202","NH","Moosilauke Brook",71.62,17696.46,"NH"
"100297","100297","010700010203","NH","Glover Brook-Pemigewasset River",50.47,12471.2,"NH"
"100257","100257","010700010204","NH","Eastman Brook",60.13,14859.31,"NH"
"100237","100237","010700010205","NH","Mill Brook-Pemigewasset River",121.53,30031.39,"NH"
"100249","100249","010700010206","NH","West Branch Brook",60.39,14923.37,"NH"
"100240","100240","010700010301","NH","Headwaters Baker River",59.72,14756.43,"NH"
"100265","100265","010700010302","NH","Atwell Brook-Baker River",89.61,22143.23,"NH"
