"","X","huc12","states","name","areasqkm","areaacres"
"8231","8231","020302030000","CT,NY,RI","Long Island Sound",3082.16,761618.25
"8494","8494","050100020104","NY","West Branch Conewango Creek",121.43,30006.85
"10455","10455","050100011103","NY,PA","Hare Creek",78.01,19277.71
"10456","10456","041201010101","NY","Silver Creek",60.16,14865.45
"11781","11781","020302020804","NY,RI","Block Island Sound",628.26,155247.29
"12764","12764","020301040504","NY","Gerritsen Creek-Rockaway Inlet",33.16,8194.43
"12805","12805","020301040505","NY","Town of Coney Island-Frontal Gravesend Bay",37.81,9341.89
"12958","12958","020302010401","NY","Wading River-Frontal Long Island Sound",47.4,11712.79
"12959","12959","020302010402","NY","Mattituck Creek-Frontal Long Island Sound",49.53,12238.01
"12961","12961","020302010403","NY","Fishers Island-Frontal Long Island Sound",14.63,3615.57
"14400","14400","020302020202","NY","Massapequa Creek-South Oyster Bay",94.79,23423.37
"14429","14429","020302020205","NY","Milburn Creek-Middle Bay",67.97,16796.85
"14432","14432","020302020206","NY","Reynolds Channel-East Rockaway Inlet",42.78,10571.59
"14433","14433","020302020207","NY","Bellmore Creek-East Bay",102.08,25224.9
"14468","14468","020302020303","NY","Patchogue River-Frontal Patchogue Bay",47.21,11665.75
"14469","14469","020302020304","NY","Swan River-Great South Bay",137.59,33999.7
"14470","14470","020302020305","NY","Brown Creek-Great South Bay",95.89,23693.82
"14496","14496","020302020402","NY","Orowoc Creek-Great Cove",54.79,13537.98
"14498","14498","020302020406","NY","Santapogue Creek-Great South Bay",72.4,17890.76
"14509","14509","020302020601","NY","Forge River-Moriches Bay",97.71,24144.44
"14717","14717","020302020903","NJ,NY","020302020903-Atlantic Ocean",889.36,219765.67
"14721","14721","020302020801","NY","Gardiners Island-Frontal Block Island Sound",21.18,5234.26
"14722","14722","020302020802","NY","Lake Montauk-Frontal Block Island Sound",46.07,11383.66
"14723","14723","020302020803","NY","Fishers Island-Frontal Block Island Sound",9.97,2463.46
"14724","14724","020302020602","NY","East River-Moriches Bay",108.28,26756.22
"14725","14725","020302020603","NY","Quantuck Bay-Shinnecock Bay",85.76,21191.19
"14726","14726","020302020604","NY","Heady Creek-Shinnecock Bay",49.08,12128.38
"14727","14727","020302020605","NY","Mecox Bay",59.59,14726
"14728","14728","020302020606","NY","Georgica Pond-Frontal Atlantic Ocean",65.81,16261.39
"15111","15111","011000060201","CT,NY","Silvermine River",58.34,14415.03
"15112","15112","011000060401","CT,NY","Rippowam River-Frontal Stamford Harbor",96.58,23865.77
"15113","15113","011000060402","CT,NY","Mianus River-Frontal Cos Cob Harbor",90.14,22274.73
"15114","15114","011000050501","CT,NY","Headwaters Webatuck Creek",89.2,22040.78
"15115","15115","011000050601","CT,NY","Lake Candlewood",104.96,25936.15
"15116","15116","011000060403","CT,NY","Byram River",77.44,19136.98
"15117","15117","011000060404","CT,NY","Fivemile River-Frontal Long Island Sound",108.16,26727.89
"15122","15122","011000050504","NY","Wassaic Creek",96.91,23946.78
"15167","15167","020301040404","NJ,NY","Staten Island East-Raritan Bay",93.1,23006.22
"15168","15168","020301040201","NJ,NY","Woodbridge Creek-Arthur Kill",101.22,25011
"15169","15169","020301040204","NJ,NY","Morses Creek-Arthur Kill",76.61,18931.55
"15170","15170","020301040403","NJ,NY","Waackaack Creek-Frontal Raritan Bay",83.95,20745.5
"15190","15190","020301020105","NY","Westchester Creek-East River",85.35,21091.3
"15191","15191","020301020203","NY","East Creek-Frontal Long Island Sound",45.54,11252.55
"15192","15192","020302010102","NY","Mitchells Creek-Manhasset Bay",47.11,11641.74
"15193","15193","020302010104","NY","East Creek-Frontal Long Island Sound",22.66,5598.75
"15196","15196","020301040405","NJ,NY","Lower Bay",174.1,43021.07
"15199","15199","020301010302","NY","Plum Brook-Croton River",69.48,17169.16
"15200","15200","020301020201","NY","Hutchinson River-Eastchester Bay",50.16,12395.78
