"","huc4","states","name","areasqkm","areaacres"
"1","1307","NM,TX","Lower Pecos",53432.4,13203421.45
"2","1309","MX,TX","Lower Rio Grande",13647.77,3372434.63
"3","1211","TX","Nueces-Southwestern Texas Coastal",74556.89,18423392
"4","1806","CA","Central California Coastal",34286.96,8472484.56
"5","1807","CA,MX","Southern California Coastal",35860.72,8861368.04
"6","1809","CA,NV","Northern Mojave-Mono Lake",73269.3,18105223.06
"7","1805","CA","San Francisco Bay",13909.9,3437208.65
"8","1810","CA,MX","Southern Mojave-Salton Sea",44249.01,10934157.74
"9","1802","CA,OR","Sacramento",72013.16,17794824.3
"10","1808","CA,NV","North Lahontan",11791.02,2913621.1
"11","0713","IL","Lower Illinois",46353.21,11454117.4
"12","0712","IL,IN,MI,WI","Upper Illinois",28205.42,6969704.79
"13","1702","CN,WA","Upper Columbia",119755.25,29592139.42
"14","1711","CN,WA","Puget Sound",52956.78,13085894.65
"15","0901","CN,ND","Souris",50118.7,12384588.34
"16","1005","CN,MT","Milk",59843.82,14787716.43
"17","1703","WA","Yakima",15928.17,3935932.68
"18","1406","CO,UT","Lower Green",37701.49,9316232.85
"19","0710","IA,MN,MO","Des Moines",37442.48,9252230.1
"20","0702","IA,MN,ND,SD","Minnesota",44050.32,10885061.13
"21","0404","IL,IN,MI,WI","Southwestern Lake Michigan",5262.59,1300412.76
"22","0416","CN","Northwestern Lake Superior",41029.57,10138617.8
"23","1310","MX","Rio Conchos",67618.83755654,16708978.6487757
"24","1311","MX","Rio Salado",60402.54110729,14925792.9619042
"25","1202","TX","Neches",25901.26,6400335.32
"26","1312","MX","Rio San Juan",32796.24198727,8104127.88695426
"27","1304","MX,NM,TX","Rio Grande-Amistad",84391.04,20853461.55
"28","1308","MX,TX","Rio Grande-Falcon",32862.83,8120573.83
"29","0802","AR,MO,MS","Lower Mississippi-St. Francis",41892.07,10351746.17
"30","1706","ID,MT,OR,WA","Lower Snake",90764.23,22428309.29
"31","1705","ID,NV,OR","Middle Snake",95795.74,23671622.73
"32","0432","CN","Mojikit Lake-Ogoki River",14003.48,3460332.81
"33","0433","CN","Long Lake-Kenogami River",4383.92,1083289.67
"34","0302","NC","Neuse-Pamlico",36985.66,9139347.69
"35","0315","AL,GA,TN","Alabama",58904.49,14555602.81
"36","0509","IN,KY,OH,WV","Middle Ohio",23053.62,5696669.33
"37","0508","IN,OH","Great Miami",13906.33,3436324.97
"38","0512","IL,IN,OH","Wabash",85348.84,21090139.32
"39","0514","IL,IN,KY","Lower Ohio",32632.8,8063733.04
"40","1114","AR,LA,OK,TX","Red-Sulphur",71620.77,17697862.8
"41","0318","LA,MS","Pearl",22500.88,5560084.16
"42","0807","LA,MS","Lower Mississippi-Lake Maurepas",15075.38,3725205.16
"43","0503","OH,PA,WV","Upper Ohio",34687.17,8571378.12
"44","1106","KS,OK","Arkansas-Keystone",25394.37,6275080.96
"45","1107","AR,KS,MO,OK","Neosho-Verdigris",53851.38,13306953.17
"46","2204","UM","United States Minor Outlying Islands",NA,NA
"47","0419","IL,IN,MI,WI","Lake Michigan",58249.47,14393744.21
"48","0706","IA,IL,MN,WI","Upper Mississippi-Maquoketa-Plum",22258.04,5500075.42
"49","1604","CA,NV,OR","Black Rock Desert-Humboldt",74176.65,18329432.95
"50","0311","FL,GA","Suwannee",36567.41,9035994.77
"51","0307","FL,GA","Altamaha-St. Marys",53662.19,13260203.4
"52","0303","NC","Cape Fear",23846.72,5892647.35
"53","0304","NC,SC,VA","Pee Dee",48857.86,12073028.43
"54","0107","MA,NH","Merrimack",12963.56,3203363.18
"55","0109","MA,RI","Massachusetts-Rhode Island Coastal",18393.33,4545088.01
"56","0407","MI","Northwestern Lake Huron",14474.07,3576618.63
"57","0103","CN,ME","Kennebec",15289.71,3778167.03
"58","2202",NA,"Northern Mariana Islands",3664.92,905621.27
"59","0104","CN,ME,NH","Androscoggin",9137.3,2257874.41
"60","1209","TX","Lower Colorado-San Bernard Coastal",73557.93,18176543.92
"61","1014","NE,SD","Missouri-White",52031.13,12857159.72
"62","2001","HI","Hawaii",13190.64,3259475.8
"63","2002","HI","Maui",3242.72,801293.55
"64","2003","HI","Kahoolawe",495.74,122499.65
"65","2004","HI","Lanai",918.7,227014.51
"66","2005","HI","Molokai",1672.48,413277.39
"67","2006","HI","Oahu",2892.37,714718.94
"68","2007","HI","Kauai",2401.67,593465.73
"69","2008","HI","Niihau",861.51,212884.01
"70","1028","IA,MO","Chariton-Grand",28382.1,7013364.13
"71","1020","NE","Platte",21246.51,5250123.3
"72","1021","NE","Loup",39090.5,9659463.26
"73","1022","NE","Elkhorn",18128.39,4479618.8
"74","2101","PR","Puerto Rico",13652.65,3373640.59
"75","1004","MT","Missouri-Musselshell",60829.86,15031372.3
"76","2203","AS","American Samoa",1596.9,394603.3
"77","1009","MT,WY","Powder-Tongue",48695.88,12033002.74
"78","0701","MN","Mississippi Headwaters",52085.94,12870703.64
"79","0501","NY,PA","Allegheny",30377.23,7506369.3
"80","1102","CO,KS,NM","Upper Arkansas",64556.14,15952156.54
"81","1401","CO,UT","Colorado Headwaters",25480.45,6296349.85
"82","0504","OH","Muskingum",20849.43,5152000.93
