"","X","huc12","states","name","areasqkm","areaacres"
"792","792","010900010901","MA","Monatiquot River",118.66,29322.4
"1458","1458","010900010402","MA","Outlet Saugus River",71.36,17633.45
"1460","1460","010900020302","MA","Weweantic River",155.89,38520.01
"1461","1461","010900020105","MA","Plymouth Bay",182.99,45217.47
"1515","1515","010900011008","MA","Martin Ledge-Massachusetts Bay",161.53,39915.55
"1516","1516","010900010502","MA","Mystic River",106.24,26252.4
"1517","1517","010900011007","MA","Nahant Bay-Massachusetts Bay",97.19,24017.13
"1518","1518","010900011003","MA","North River-Massachusetts Bay",171.18,42298.74
"1519","1519","010900010301","MA","Essex Bay",72.07,17808.75
"1535","1535","010900010205","MA","Lower Ipswich River",131.4,32469.26
"1543","1543","010900010305","MA","Sandy Bay-Atlantic Ocean",98.09,24238.72
"1548","1548","010900011004","MA","Normans Woe-Massachusetts Bay",226.76,56032.61
"1549","1549","010900020700","MA","Nantucket Island-Nantucket Sound",952.17,235285.41
"1550","1550","010900020602","MA","Martha's Vineyard-Atlantic Ocean",414,102302.62
"1551","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1
"15511","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1
"1554","1554","010900020402","MA","Paskamanset River",110.7,27354.89
"1555","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29
"15551","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29
"1558","1558","010900020502","MA,RI","Westport River",146.07,36094.27
"15581","1558","010900020502","MA,RI","Westport River",146.07,36094.27
"1559","1559","010900020306","MA","Buzzards Bay",412.15,101843.79
"1560","1560","010900020501","MA","Noquochoke Lake",72.12,17820.83
"1562","1562","010900020401","MA","Acushnet River",157.3,38869.27
"1563","1563","010900020305","MA","Mattapoisett River-Frontal Buzzards Bay",127.21,31434.61
"1564","1564","010900020103","MA","Jones River",79.1,19545.77
