"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"1558","1558","010900020502","MA,RI","Westport River",146.07,36094.27,"RI"
"15581","1558","010900020502","MA,RI","Westport River",146.07,36094.27,"RI"
"1555","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29,"RI"
"15551","1555","010900020503","MA,RI","Cold Brook-Frontal Rhode Island Sound",50.72,12534.29,"RI"
"1551","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1,"RI"
"15511","1551","010900020504","MA,RI","Horseneck Beach-Rhode Island Sound",160.93,39767.1,"RI"
"15518","15518","010900030202","MA,RI","Clear River",117.32,28990.35,"RI"
"155181","15518","010900030202","MA,RI","Clear River",117.32,28990.35,"RI"
"80782","80782","010900030203","RI","Chepachet River",55.41,13691.46,"RI"
"15306","15306","010900030204","MA,RI","Branch River",68.87,17019.08,"RI"
"153061","15306","010900030204","MA,RI","Branch River",68.87,17019.08,"RI"
"80722","80722","010900030205","MA,RI","Mill River",88.97,21986.05,"RI"
"807221","80722","010900030205","MA,RI","Mill River",88.97,21986.05,"RI"
"80723","80723","010900030206","MA,RI","Emerson Brook-Blackstone River",88.74,21927.03,"RI"
"807231","80723","010900030206","MA,RI","Emerson Brook-Blackstone River",88.74,21927.03,"RI"
"80711","80711","010900030207","MA,RI","Abbott Run",74.12,18314.21,"RI"
"807111","80711","010900030207","MA,RI","Abbott Run",74.12,18314.21,"RI"
"12986","12986","010900030208","MA,RI","Peters River-Blackstone River",108.62,26841.61,"RI"
"129861","12986","010900030208","MA,RI","Peters River-Blackstone River",108.62,26841.61,"RI"
"42702","42702","010900040401","MA,RI","Ten Mile River",144.27,35650.49,"RI"
"427021","42702","010900040401","MA,RI","Ten Mile River",144.27,35650.49,"RI"
"80783","80783","010900040501","RI","Moshassuck River",59.72,14757.43,"RI"
"80778","80778","010900040502","RI","Woonasquatucket River",132.49,32739.04,"RI"
"80784","80784","010900040601","RI","Big River",73.4,18137.49,"RI"
"12987","12987","010900040602","RI","Flat River Reservoir",72.23,17847.45,"RI"
"15308","15308","010900040603","RI","South Branch Pawtuxet River",43.08,10645.07,"RI"
"80792","80792","010900040604","RI","Moswansicut Pond-Huntinghouse Brook",57.43,14191.19,"RI"
"15519","15519","010900040605","RI","Barden Reservoir-Ponaganset River",85.34,21089.19,"RI"
"80793","80793","010900040606","RI","Scituate Reservoir",100.31,24786.53,"RI"
"15309","15309","010900040607","RI","North Branch Pawtuxet River",36.45,9008.1,"RI"
"15310","15310","010900040608","RI","Pocasset River",53.23,13154.57,"RI"
"41093","41093","010900040609","RI","Pawtuxet River",79.01,19523.99,"RI"
"42700","42700","010900040701","MA,RI","Palmer River",134.24,33171.4,"RI"
"427001","42700","010900040701","MA,RI","Palmer River",134.24,33171.4,"RI"
"42706","42706","010900040702","MA,RI","Barrington River-Warren River",46.54,11499.75,"RI"
"427061","42706","010900040702","MA,RI","Barrington River-Warren River",46.54,11499.75,"RI"
"86023","86023","010900040803","MA,RI","Quequechan River",78,19274.09,"RI"
"860231","86023","010900040803","MA,RI","Quequechan River",78,19274.09,"RI"
"80794","80794","010900040901","RI","Seekonk River-Providence River",85.76,21192.04,"RI"
"15314","15314","010900040902","RI","Old Mill Creek-Narragansett Bay",68.21,16854.69,"RI"
"15317","15317","010900040903","RI","Greenwich Bay",67.42,16660.17,"RI"
"80795","80795","010900040904","RI","Hunt River",64.08,15833.71,"RI"
"42697","42697","010900040905","MA,RI","Mount Hope Bay",143.96,35572.59,"RI"
"426971","42697","010900040905","MA,RI","Mount Hope Bay",143.96,35572.59,"RI"
