"","X","huc12","states","name","areasqkm","areaacres"
"9205","9205","010801070301","VT","Headwaters West River",105.71,26121.56
"9207","9207","010801010501","VT","Headwaters Nulhegan River",157.55,38931.26
"14735","14735","010801020302","VT","South Wheelock Branch-Passumpsic River",136.75,33791.6
"14739","14739","010802030102","VT","East Branch Deerfield River",95.59,23619.92
"14740","14740","010801050302","VT","Second Branch White River",94.38,23321.4
"14767","14767","010801070404","VT","Smith Brook-West River",39.43,9742.88
"14772","14772","010801070305","VT","Cobb Brook-West River",44.86,11084.71
"14773","14773","010801060502","VT","Branch Brook-Black River",114.04,28180.76
"14774","14774","010801020104","VT","West Branch Passumpsic River",111.36,27517.99
"14777","14777","010801040103","VT","South Branch Waits River",116.5,28788.53
"14781","14781","010801060204","VT","Kedron Brook",41.46,10243.91
"14783","14783","010801050105","VT","Locust Creek",64.79,16009.83
"14806","14806","010801050502","VT","Mill Brook-White River",147.25,36387.09
"14807","14807","010801050103","VT","Breakneck Brook-White River",111.91,27654.63
"16043","16043","010801020402","VT","Joes Brook",136.97,33845.05
"16044","16044","010801020203","VT","Moose River",133.79,33060.92
"16045","16045","010801020401","VT","Sleepers River",120.42,29755.17
"20473","20473","010801070302","VT","Utley Brook",71.6,17692.37
"20478","20478","010801060601","VT","Headwaters Williams River",79.68,19688.54
"20483","20483","010801050101","VT","Headwaters White River",147.31,36399.96
"20690","20690","010801050301","VT","Headwaters Second Branch White River",97.75,24155.76
"20692","20692","010801050501","VT","Broad Brook-White River",112.83,27880.95
"20693","20693","010801050106","VT","Stony Brook-White River",133.03,32873.6
"20726","20726","010801040102","VT","Headwaters Waits River",151.61,37462.59
"20830","20830","010801020201","VT","Rogers Brook",43.52,10753.48
"20841","20841","010801010503","VT","Nulhegan River",128.37,31720.62
"21156","21156","010801060503","VT","Twentymile Stream-Black River",92.9,22956.87
"21297","21297","010801040302","VT","Headwaters Ompompanoosuc River",114.2,28219.89
"21300","21300","010801050202","VT","Ayers Brook",96.3,23797.19
"21311","21311","010801070406","VT","West River",62.44,15428.04
"21312","21312","010801060504","VT","North Branch Black River",82.98,20503.63
"21315","21315","010801050401","VT","Headwaters First Branch White River",162.01,40033.66
"21317","21317","010801050201","VT","Headwaters Third Branch White River",162.27,40096.63
"21319","21319","010801030601","VT","Headwaters Wells River",110.65,27341.4
"21341","21341","010801020301","VT","Millers Run",119.63,29560.04
"21409","21409","010801060206","VT","Gulf Stream",99.37,24554.91
"21411","21411","010801050503","VT","White River",64.98,16057.54
"21412","21412","010801020103","VT","Calendar Brook",59.97,14817.84
"21413","21413","010801020202","VT","Headwaters Moose River",158.21,39094.22
"21437","21437","010801070303","VT","Flood Brook-West River",84.18,20800.24
"21506","21506","010801050102","VT","West Branch White River",112.11,27702.87
"21507","21507","010801050203","VT","Third Branch White River",96.13,23754.02
"21511","21511","010801070405","VT","Rock River",149.19,36864.52
"21514","21514","010801020102","VT","East Branch Passumpsic River",154,38054.94
"21515","21515","010801020101","VT","Bean Brook",54.92,13569.99
"21564","21564","010801070504","VT","Sacketts Brook",41.2,10181.95
"21570","21570","010801040303","VT","West Branch Ompompanoosuc River",154.65,38215.27
"21571","21571","010801070401","VT","Wardsboro Brook",91.21,22537.72
"21574","21574","010801060602","VT","Middle Branch Williams River",124.28,30710.13
"21575","21575","010801060505","VT","Black River",137.44,33961.05
"21768","21768","010801070403","VT","Grassy Brook",38.19,9437.78
"21781","21781","010801060501","VT","Headwaters Black River",101.58,25100.33
"21916","21916","010801060304","VT","Mill Brook",115.31,28494.44
"21918","21918","010801060203","VT","Broad Brook",69.81,17249.81
"21970","21970","010801070306","VT","Ball Mountain Brook",87.11,21524.64
"21974","21974","010801070402","VT","Mill Brook-West River",112.35,27761.95
"21984","21984","010801060205","VT","Beaver Brook-Ottauquechee River",76.58,18924.23
"22516","22516","020200030102","NY,VT","Mill Brook-White Creek",126.14,31170.11
"22517","22517","020200030206","NY,VT","Steele Brook-Batten Kill",78.84,19482.58
"22538","22538","020200030704","NY,VT","Walloomsac River",149.78,37011.79
"22542","22542","020200030703","NY,VT","Little White Creek",61.72,15252.05
"22543","22543","020200030804","NY,VT","Browns Brook-Hoosic River",105.62,26099.97
"22544","22544","020200030901","NY,VT","White Creek",51.15,12639.03
"22569","22569","020200030201","VT","West Branch Batten Kill-Batten Kill",101.09,24979
"22570","22570","020200030701","VT","Roaring Branch Walloomsac Brook",109.28,27004.58
"22571","22571","020200030702","VT","South Stream-Walloomsac River",88.93,21974.39
"22573","22573","020200030202","VT","Warm Brook",138.5,34224.03
"22583","22583","020200030803","NY,VT","Ladd Brook-Hoosic River",68.44,16912.99
"22649","22649","010801070307","VT","Turkey Mountain Brook-West River",44.53,11002.47
"22655","22655","010801060202","VT","North Branch Ottauquechee River",70.93,17527.76
"22656","22656","010801060207","VT","Ottauquechee River",105.33,26027.76
"22659","22659","010801060201","VT","Headwaters Ottauquechee River",114.87,28386.19
"22664","22664","010801040304","VT","Ompompanoosuc River",31.71,7835.48
"22744","22744","010801050402","VT","First Branch White River",108.86,26900.6
"22824","22824","010801040101","VT","Tabor Branch",75.93,18762.35
"22827","22827","010801010901","VT","Cutler Mill Brook",64.8,16013.32
"22829","22829","010801010601","VT","Paul Stream",137.99,34098.2
"22835","22835","010801050104","VT","Tweed River",131.81,32571.31
"22872","22872","010801070101","VT","Headwaters Saxtons River",112.37,27767.57
"22997","22997","010801070304","VT","Winhall River",154.52,38182.35
"23000","23000","010801040301","VT","Middle Brook",54.03,13351.14
"28377","28377","010802030101","VT","Headwaters Deerfield River",130.63,32278.13
"28688","28688","020200030203","VT","Lye Brook-Batten Kill",145.51,35956.96
