"","X","huc12","states","name","areasqkm","areaacres"
"1102","1102","090203161304","CN,ND","Windygates-Pembina River",106.6,26340.5
"1103","1103","090203140702","CN","Lower Vita Drain",142.12,35118.83
"5174","5174","090203160802","CN,ND","Township of Mount Carmel",36.39,8992.14
"5175","5175","090203160803","CN,ND","Township of Dresden",83.52,20637.39
"5176","5176","090203110803","CN,MN","Bradley Coulee",42.07,10396.06
"5177","5177","090203161305","CN,ND","Elkwood Cemetery-Pembina River",59.72,14756.78
"5178","5178","090203140808","CN,MN","Upper Main Drain",55.8,13789.44
"5179","5179","090203140701","CN","Upper Vita Drain",275.36,68042.69
"5180","5180","090203110804","CN,MN,ND","City of Pembina-Red River",67.42,16659.23
"5181","5181","090203160203","CN,ND","Crystal City-Cypress Creek",120.92,29880.48
"5182","5182","090203140803","CN","090203140803-Roseau River",45.62,11273.72
"7218","7218","170101060103","CN","Aldridge Creek",51.97,12841.34
"7220","7220","170101060104","CN","Bleasdell Creek-Elk River",107.57,26580.96
"7221","7221","170101060105","CN","Quarrie Creek",62.03,15327.88
"7223","7223","170101060107","CN","Miller Creek-Elk River",68.84,17011.14
"7224","7224","170101060201","CN","Henretta Creek",48.73,12042.18
"7225","7225","170101060202","CN","Headwaters Fording River",38.72,9567.68
"7226","7226","170101060203","CN","Kilmarnock Creek",43.86,10837.48
"7227","7227","170101060204","CN","Clode Creek-Fording River",42.77,10569.38
"7229","7229","170101060207","CN","Swift Creek-Fording River",58.69,14503.27
"7264","7264","170101060402","CN","Crossing Creek",41.92,10359.56
"7265","7265","170101060303","CN","Outlet Fording River",128.34,31712.74
"7266","7266","170101060404","CN","Boivin Creek",62.48,15437.98
"7267","7267","170101060405","CN","Weigert Creek",45.49,11242
"7268","7268","170101060406","CN","Brûlé Creek",86.63,21406.99
"7269","7269","170101060407","CN","Fording Mountain-Elk River",105.2,25994.25
"7270","7270","170101060504","CN","Marten Creek",41.92,10358.76
"7271","7271","170101060505","CN","Leach Creek",84.15,20794.82
"7272","7272","170101060509","CN","Erickson Creek",32.53,8038.63
"7286","7286","170101060602","CN","Grave Creek",41.95,10365.81
"7290","7290","170101060510","CN","Outlet Michel Creek",53.72,13273.26
"7291","7291","170101060601","CN","Harmer Creek",38.98,9630.97
"7292","7292","170101060603","CN","Headwaters Cummings Creek",101.32,25036.88
"7294","7294","170101060604","CN","Outlet Cummings Creek",32.46,8021.91
"7295","7295","170101060605","CN","Dalzell Creek-Elk River",111.27,27494.24
"7297","7297","170101060801","CN","Lladnar Creek",39.2,9686.87
"7298","7298","170101060802","CN","McCool Creek-Elk River",88.3,21820.6
"7299","7299","170101060803","CN","Hartley Creek-Elk River",103.9,25675.36
"7300","7300","170101060804","CN","Coal Creek",118.74,29341.16
"7301","7301","170101060805","CN","Fairy Creek-Elk River",59.88,14797.59
"7303","7303","170101060806","CN","Lizard Creek",45.16,11158.47
"7304","7304","170101060807","CN","Morrissey Creek",84.13,20789.81
"7305","7305","170101060808","CN","Cokato Creek-Elk River",104.45,25810.78
"7306","7306","170101060809","CN","Raymond Creek-Elk River",111.06,27444.66
"7307","7307","170102060101","CN","McEvoy Creek",44.88,11089.47
"7308","7308","170102060102","CN","Flathead Ridge-Flathead River",76.11,18808.25
"7532","7532","170102060103","CN","McLatchie Creek-Flathead River",144.26,35646.57
"7533","7533","170102060104","CN","Packhorse Creek-Flathead River",101.55,25092.71
"7680","7680","170102060202","CN","Commerce Creek",55.28,13660.39
"7682","7682","170102060105","CN","Harvey Creek",41.73,10311.32
"7683","7683","170102060106","CN","Cate Creek-Flathead River",73.59,18183.6
"7684","7684","170102060201","CN","Middlepass Creek",48.21,11913.41
"7685","7685","170102060203","CN","Leslie Creek",38.33,9472.03
"7687","7687","170102060204","CN","Cabin Creek",96.08,23741.51
"7688","7688","170102060205","CN","Howell Creek",104.69,25868.47
"7689","7689","170102060206","CN","Beryl Creek-Flathead River",101.51,25082.91
"7690","7690","170102160501","CN","Craigtown Creek",37.99,9387.89
"7694","7694","170102160803","CN","Outlet Salmo River",89.13,22025.37
"7709","7709","170101030301","CN","Norge Creek-Yahk River",63.36,15657.18
"7712","7712","170101030302","CN","North Gilnockie Creek",43.26,10689.08
"7715","7715","170102160601","CN","Clearwater Creek",50.98,12597.19
"7716","7716","170102160502","CN","Upper Erie Creek",77.03,19035.31
"7717","7717","170102160503","CN","Grassy Creek",31.28,7730.43
"7718","7718","170102160504","CN","Lower Erie Creek",88.85,21956.14
"7719","7719","170102160602","CN","Hall Creek",51.07,12619.33
"7720","7720","170102160603","CN","Barrett Creek",32.96,8143.73
"7721","7721","170102160604","CN","Ymir Creek",81.9,20237.36
"7722","7722","170102160605","CN","Porcupine Creek",68.66,16965.16
"7723","7723","170102160606","CN","Headwaters Salmo River",125.23,30944.27
"7724","7724","170102160607","CN","Hidden Creek",56.69,14009.56
"7725","7725","170102160608","CN","Boulder Mill Creek-Salmo River",50.85,12566
"7726","7726","170102160703","CN","Lime Creek-Lost Creek",61.79,15267.98
"7727","7727","170102160801","CN","Sheep Creek",135.08,33378.67
"7728","7728","170102160802","CN","Hellroaring Creek-Salmo River",68.26,16868.13
"7729","7729","170102161001","CN","Tillicum Creek-Pend d'Oreille River",59.42,14682.1
"7730","7730","170102161002","CN","Nine Mile Creek-Pend d'Oreille River",46.85,11576.97
"7970","7970","170102060309","CN,MT","Outlet Kishinena Creek",75.95,18766.68
"8139","8139","170101010101","CN","Mount Mike-Bull River",46.87,11580.72
"8140","8140","170101010104","CN","Norboe Creek-Bull River",116.52,28792.64
"8141","8141","170101010105","CN","Headwaters Quinn (Queen) Creek",87.17,21539.73
"8142","8142","170101010106","CN","Outlet Quinn (Queen) Creek",77.59,19171.78
"8143","8143","170101010107","CN","Burns Creek-Bull River",71.09,17567.84
"8144","8144","170101010203","CN","North Galbraith Creek",67,16555.48
"8175","8175","090400020603","CN","Hartleyville-Waterton River",65.14,16096.13
"8258","8258","090400020803","CN","090400020803",108.05,26700.56
"8379","8379","090400020103","CN,MT","Deer Lake-Belly River",71.75,17730.42
"8392","8392","090400020602","CN","Lower Foothill Creek",54.53,13475.2
"8426","8426","170101041201","CN","Headwaters Cultus Creek",60.6,14974.22
"8462","8462","170101041106","CN","Duck Lake",100.54,24844.36
"8466","8466","170101041103","CN","Upper Corn Creek",56.28,13905.95
"8468","8468","170101041303","CN","Headwaters Midge Creek",43.74,10808.86
"8469","8469","170101041304","CN","Outlet Midge Creek",97.91,24194.48
"8490","8490","090400021102","CN","Henderson Lake-Oldman River",73.1,18063.12
"8492","8492","090203180000","CN","Rat River-Tourond Creek",3228.91,797880.41
"8493","8493","170101040805","CN","Kianuko Creek",127.29,31454.17
"8507","8507","090400020202","CN","Upper Layton Creek",55.66,13754.58
"8512","8512","170101010205","CN","Lower Galbraith Creek",72.14,17826.81
"8513","8513","170101010305","CN","Iron Creek",110.57,27321.26
"8514","8514","170101010306","CN","Lime Creek-Bull River",145.92,36056.81
"8515","8515","170101010301","CN","Mount Kuleski-Sulphur Creek",102.02,25210.32
"8516","8516","170101010302","CN","Sulphur Creek",110.59,27326.37
"8517","8517","170101010401","CN","Haha Creek",75.12,18561.75
"8519","8519","170101010402","CN","Plumbob Creek",53.28,13166.22
"8520","8520","170101010403","CN","Upper Sand Creek",107,26440.4
"8522","8522","170101010404","CN","Little Sand Creek",125.17,30931.21
"8523","8523","170101010405","CN","Lower Sand Creek",57.41,14186.71
"8524","8524","170101010406","CN","Kikomun Creek",107.04,26451.14
"8528","8528","170101040803","CN","Kuttat Creek-Goat River",75.76,18720.11
"8529","8529","170101040804","CN","Skelly Creek",80.65,19928.54
"8530","8530","170101040806","CN","Leadville Creek",77.48,19145.83
"8531","8531","170101040807","CN","Cameron Creek-Goat River",159.18,39333.27
"8532","8532","170101040901","CN","Kid Creek",139.52,34475.29
"8533","8533","170101040902","CN","Headwaters Kitchener Creek",81.56,20154.67
"8534","8534","170101040903","CN","Outlet Kitchener Creek",57.31,14162.57
"8535","8535","170101040904","CN","Arrow Creek",108.02,26693.19
"8536","8536","170101040905","CN","Crackerjack Creek-Goat River",88,21744.31
"8537","8537","170101040906","CN","Dodds Creek-Goat River",87.12,21527.76
"8538","8538","170101041001","CN","Bayonne Creek",45.23,11177.55
"8539","8539","170101041002","CN","Upper Summit Creek",47.67,11779.88
"8540","8540","170101041003","CN","Blazed Creek",54.11,13371.6
"8541","8541","170101041004","CN","Middle Summit Creek",73.24,18097.73
"8542","8542","170101041005","CN","Lower Summit Creek",82.22,20317.85
"8544","8544","090400040000","CN","Oldman River-Willow Creek",4036.43,997423.81
"8546","8546","170101041107","CN","Boulder Creek",27.98,6914.59
