"","X","huc12","states","name","areasqkm","areaacres"
"46770","46770","220201030000",NA,"Aguijan Island",174.06,43010.55
"46778","46778","220202100000",NA,"Farallon de Medinilla",132.5,32742.3
"46780","46780","220202030000",NA,"Asuncion Island",164.35,40612.92
"46785","46785","220202020000",NA,"Maug Islands",157.52,38923.69
"46786","46786","220202010000",NA,"Farallon de Pajaros",132.6,32765.97
"46804","46804","220202070000",NA,"Guguan Island",146.56,36216.88
"46808","46808","220202060000",NA,"Alamagan Island",188.56,46593.05
"46813","46813","220400060000",NA,"Howland Island",138.76,34288.55
"46870","46870","220201010101",NA,"Saddock Talofofo-Frontal Pacific Ocean",23.67,5849.13
"46871","46871","220201010102",NA,"Kannat Taddong Laolao-Frontal Pacific Ocean",13.83,3416.44
"46872","46872","220201010103",NA,"Hagoi Susupe-Frontal Phillippine Sea",40.56,10021.56
"46873","46873","220201010104",NA,"Kannat Laremies-Frontal Phillippine Sea",41.18,10176.21
"46874","46874","220201010200",NA,"Bahia Laolao-Pacific Ocean",468.11,115672.28
"46875","46875","220201020000",NA,"Tinian Island",440.19,108772.68
"46877","46877","220201040000",NA,"Rota Island",450.91,111423.4
"46878","46878","220202090000",NA,"Anatahan Island",272.2,67260.95
"46879","46879","220202080000",NA,"Sarigan Island",150.43,37170.98
"46880","46880","220202050000",NA,"Pagan Island",376.63,93066.77
"46881","46881","220202040000",NA,"Agrihan Island",291.07,71925.5
"47298","47298","220400070000",NA,"Baker Island",129.23,31934.05
"47309","47309","220400020000",NA,"Johnston Atoll",318.61,78729.73
"47312","47312","220400010000",NA,"Wake Island",232.37,57418.78
"47314","47314","220400050000",NA,"Jarvis Island",153.08,37827.54
"47315","47315","220400040000",NA,"Palmyra Atoll",270.07,66735.47
"47533","47533","220400030000",NA,"Kingman Reef",214.62,53032.94
"81168","81168","210200010300","","Pillsbury Sound-Caribbean Sea",913.25,225668.08
"81518","81518","210200010104","","Southwestern St. Thomas",23.96,5920.16
"102200","102200","200900090000","","Midway Islands",354.07,87493.25
