"","huc10","states","name"
"1","1016000606","SD","Foster Creek"
"2","0709000208","WI","Badfish Creek"
"3","1806000901","CA","San Antonio Creek"
"4","1805000409","CA","San Mateo Creek-Frontal San Francisco Bay Estuaries"
"5","1705010807","OR","Lower Cow Creek"
"6","1707030602","OR","Willow Creek"
"7","1704021404","ID","Lower Beaver Creek"
"8","1706010904","WA","Lower Rock Creek"
"9","1707010309","OR","Upper Butter Creek"
"10","1707030703","OR","Hay Creek"
"11","1712000811","OR","Shallow Lake-Slickey Lake"
"12","0410001106","OH","Lower Tymochtee Creek"
"13","1505030203","AZ","Tanque Verde Creek-Rillito River"
"14","1203010301","TX","Headwaters Elm Fork Trinity River"
"15","1202000304","TX","Tenmile Creek-Neches River"
"16","1203020302","TX","Whites Bayou-Turtle Bayou"
"17","1113020105","OK,TX","Lake Nocona-Red River"
"18","2101000203","PR","Cano Tiburones Coastal Watershed"
"19","0207000508","VA","Naked Creek-South Fork Shenandoah River"
"20","0207000509","VA","Hawksbill Creek-South Fork Shenandoah River"
"21","2101000201","PR","Rio Cibuco Watershed"
"22","2101000202","PR","Rio Grande de Manati Watersheds"
"23","2101000205","PR","Quebrada Los Cedros to Rio Camuy Watersheds"
"24","2101000301","PR","Rio Culebrinas Watershed"
"25","2101000302","PR","Rio Grande de Anasco Watershed"
"26","2101000303","PR","Rio Yaguez Watershed"
"27","2101000304","PR","Rio Guanajibo Watershed"
"28","2101000401","PR","Quebrada Boqueron to Rio Loco Watersheds"
"29","2101000501","PR","Rio Maunabo to Rio Humacao Watersheds"
"30","2101000502","PR","Rio Anton Ruiz to Rio Fajardo Watersheds"
"31","1209030107","TX","Buckners Creek-Colorado River"
"32","1210010201","TX","Headwaters Navidad River"
"33","0109000203","MA","Mattapoisett River-Buzzards Bay"
"34","2101000503","PR","Rio Herrera to Las Cabezas de San Juan Coastal Watersheds"
"35","2101000504","PR","Rio Grande de Loiza Watershed"
"36","2101000507","PR","Rio de la Plata Watershed"
"37","2101000305","PR","Bahia de Mayaguez-Mona Passage"
"38","2101000206","PR","Puerto del Tortuguero-Atlantic Ocean"
"39","0509010202","WV","East Fork Twelvepole Creek"
"40","0509010203","WV","Twelvepole Creek"
"41","0208020801","VA","Nansemond River"
"42","1901010210","AK","Gravina Island-Frontal Clarence Strait"
"43","1901010201","AK","Princess Bay-Frontal Behm Canal"
"44","0109000207","MA","Nantucket Island"
"45","0109000205","MA,RI","Sakonnet Point-Frontal Rhode Island Sound"
"46","0109000202","MA","Cape Cod"
"47","0109000108","MA","Neponset River"
"48","0109000109","MA","Hingham Bay"
"49","0109000104","MA","Saugus River"
"50","0505000208","WV","Brush Creek"
"51","0505000401","WV","Piney Creek"
"52","0509010201","WV","West Fork Twelvepole Creek"
"53","2102000102","VI","St. John"
"54","0208020603","VA","Upper Chippokes Creek-James River"
"55","0208020606","VA","Lower Chickahominy River"
"56","2102000201","VI","Northern St. Croix"
"57","2102000202","VI","Southern St. Croix"
"58","2102000203","VI","Christiansen Harbor-Caribbean Sea"
"59","0207000206","MD,PA","Evitts Creek"
"60","0208010301","VA","Thumb Run-Rappahannock River"
"61","0208010302","VA","Carter Run-Rappahannock River"
"62","0208010311","VA","Mine Run-Rapidan River"
"63","0208010501","VA","Poni River"
"64","0207000201","MD","Savage River"
"65","0208020607","VA","Powhatan Creek-James River"
"66","0207000203","MD","Georges Creek"
"67","0207000202","MD,WV","Stony River-North Branch Potomac River"
"68","0207000208","MD,WV","Trading Run-North Branch Potomac River"
"69","1901010202","AK","Neets Bay-Frontal Behm Canal"
"70","1901010309","AK","Shakan Bay-Frontal Sumner Strait"
"71","1901010304","AK","Skowl Arm-Frontal Kasaan Bay"
"72","1901010312","AK","Iphigenia Bay-Frontal Pacific Ocean"
"73","1901010301","AK","Logjam Creek"
"74","1901010308","AK","Kendrick Bay-Frontal Clarence Strait"
"75","1901010204","AK","Carlanna Creek-Frontal Tongass Narrows"
"76","1901010314","AK","Bucareli Bay-Frontal Pacific Ocean"
"77","1901010318","AK","Meares Passage-Frontal Pacific Ocean"
"78","0208020609","VA","Pagan River-James River"
"79","1901010206","AK","Thorne Arm-Frontal Revillagigedo Channel"
"80","1901010311","AK","Davidson Inlet-Frontal Iphigeria Bay"
"81","0901000321","CN","Graham Creek"
"82","0901000807","CN","Moose Mountain Creek"
"83","0901000311","CN","Auburnton Creek"
"84","0301020203","VA","Rattlesnake Swamp-Blackwater River"
"85","0809020302","LA","Bayou Sauvage-Frontal Chef Menteur Pass"
"86","0901000705","CN","Rinfret Brook"
"87","0901000313","CN","Upper Lightning Creek"
"88","0901000312","CN","Upper Antler River"
"89","0901000317","CN","Upper Gainsborough Creek"
"90","0208020803","VA","Hampton Roads"
"91","0809030107","LA","Barataria Pass-Gulf of Mexico"
"92","0305020604","SC","North Edisto River"
"93","0305020107","SC","Cooper River"
"94","0305020202","SC","Stono River"
"95","0305020603","SC","Edisto River"
"96","0305020711","SC","Coosaw River-Port Royal Sound"
"97","0901000322","CN","Jackson Creek"
"98","0301020202","VA","Cypress Swamp-Blackwater River"
"99","0505000201","VA","Kimberling Creek-Walker Creek"
"100","0505000202","VA","Little Walker Creek-Walker Creek"
"101","0106000101","ME","Sebago Lake"
"102","0106000102","ME","Royal River"
"103","0106000103","ME","Presumpscot River"
"104","0507020106","KY,WV","Rockcastle Creek-Tug Fork"
"105","1901021001","AK","Big Creek-Frontal Frederick Sound"
"106","1901021011","AK","Duncan Canal-Frontal Sumner Strait"
"107","0106000303","ME","Goosefare Bay-Frontal Atlantic Ocean"
"108","0106000301","ME","Kennebunk River-Frontal Atlantic Ocean"
"109","0106000302","ME","Mousam River-Frontal Atlantic Ocean"
"110","0106000205","ME","Moose Pond-Saco River"
"111","0207000205","MD,PA","Wills Creek"
"112","2102000103","VI","Pillsbury Sound-Caribbean Sea"
"113","0207000207","WV","Patterson Creek"
"114","0207000204","MD,WV","New Creek-North Branch Potomac River"
"115","2102000101","VI","St. Thomas"
"116","0809020303","LA","Mississippi River Gulf Outlet Canal-Frontal Lake Borgne"
"117","0809020307","LA","Bayou Terre Aux Boeufs-Frontal Breton Sound"
"118","0809020308","LA,MS","Chandeleur Sound"
"119","1901021009","AK","Port Malmesbury-Frontal Chatham Strait"
"120","1901021013","AK","Totem Bay-Frontal Sumner Strait"
"121","1901021004","AK","Port Camden-Frontal Keku Strait"
"122","1901021008","AK","Tebenkof Bay-Frontal Chatham Strait"
"123","1901021005","AK","Keku Strait-Frontal Frederick Sound"
"124","0208011103","MD,VA","Dividing Creek-Pocomoke River"
"125","0901000706","CN","Yellow Grass Ditch-Souris River"
"126","0901000802","CN","Town of Creelman"
"127","0901000702","CN","Headwaters Souris River"
"128","0809020309","LA","Chandeleur Sound-Gulf of Mexico"
"129","0809030105","LA","Barataria Bay-Frontal Gulf of Mexico"
"130","0305011203","SC","South Santee River"
"131","0502000501","PA,WV","Dunkard Creek"
"132","0305020901","SC","Cape Romain"
"133","0305020902","SC","Bulls Bay"
"134","0502000503","PA","South Fork Tenmile Creek"
"135","0502000504","PA","Tenmile Creek"
"136","0502000506","PA","Redstone Creek"
"137","0503020301","WV","Sand Fork"
"138","0503020302","WV","Leading Creek"
"139","0503020303","WV","Upper Little Kanawha River"
"140","0503020305","WV","Right Fork Steer Creek-Steer Creek"
"141","0503020306","WV","West Fork Little Kanawha River"
"142","0503020307","WV","Right Fork Spring Creek-Spring Creek"
"143","0503020308","WV","Left Fork Reedy Creek-Reedy Creek"
"144","0305021001","SC","Harbor River"
"145","1901021003","AK","Irish Creek-Frontal Rocky Pass"
"146","1901021010","AK","Petersburg Creek-Frontal Wrangell Narrows"
"147","1901021006","AK","Saginaw Bay-Frontal Frederick Sound"
"148","1901021007","AK","Bay of Pillars-Frontal Chatham Strait"
"149","1901021015","AK","Port Beauclerc-Frontal Sumner Strait"
"150","1901021002","AK","Portage Bay-Frontal Frederick Sound"
"151","1901021014","AK","Keku Strait-Frontal Sumner Strait"
"152","0901000704","CN","Lennox Lake-Souris River"
"153","0208011006","MD,VA","Lower Tangier Sound"
"154","0503020310","WV","South Fork Hughes River"
"155","0503020311","WV","Goose Creek-Hughes River"
"156","0503020312","WV","Middle Little Kanawha River"
"157","0208011105","MD,VA","Marumsco Creek-Pocomoke Sound"
"158","0503020104","WV","Headwaters Middle Island Creek"
"159","0503020313","WV","Lower Little Kanawha River"
"160","0503020102","WV","Fishing Creek"
"161","0503020105","WV","Outlet Middle Island Creek"
"162","0503020205","WV","Left Fork Sandy Creek-Sandy Creek"
"163","0503020206","WV","Mill Creek"
"164","0503020204","OH,WV","Pond Creek-Ohio River"
"165","0503020209","OH,WV","Oldtown Creek-Ohio River"
"166","0503020101","OH,WV","Sunfish Creek"
"167","0503020106","OH","Headwaters Little Muskingum River"
"168","0503020109","OH","West Fork Duck Creek-Duck Creek"
"169","0503020207","OH","Leading Creek"
"170","0207000402","VA,WV","Sleepy Creek"
"171","0503020110","OH,WV","French Creek-Ohio River"
"172","0503020201","OH,WV","Little Hocking River-Ohio River"
"173","0207000404","VA,WV","Back Creek"
"174","0207000409","VA,WV","Opequon Creek"
"175","0208011107","MD,VA","Deep Creek-Pocomoke Sound"
"176","0207000101","VA,WV","North Fork South Branch Potomac River"
"177","0207000103","VA,WV","Upper South Branch Potomac River"
"178","0207000105","VA,WV","South Fork South Branch Potomac River"
"179","0208020106","VA,WV","Upper Cowpasture River"
"180","0502000106","WV","Three Fork Creek"
"181","0502000107","WV","Lower Tygart Valley River"
"182","0502000201","WV","Upper West Fork River"
"183","0502000203","WV","Middle West Fork River"
"184","0502000204","WV","Simpson Creek"
"185","0502000205","WV","Tenmile Creek"
"186","0502000206","WV","Lower West Fork River"
"187","0502000302","WV","Deckers Creek"
"188","0207000703","MD,VA,WV","Bullskin Run-Shenandoah River"
"189","0207001103","MD,VA","Nanjemoy Creek-Potomac River"
"190","0207001110","MD,VA","0207001110-Potomac River"
"191","0207000806","VA,WV","North Fork Goose Creek"
"192","0207000802","MD,VA,WV","Piney Run-Potomac River"
"193","1401000107","CO","Muddy Creek"
"194","1401000110","CO","Rock Creek"
"195","0302010502","NC","Pamlico Sound-Ocracoke Inlet"
"196","0509010101","OH,WV","Crab Creek-Ohio River"
"197","0509010107","OH,WV","Indian Guyan Creek-Ohio River"
"198","0509010110","KY,OH,WV","Symmes Creek-Ohio River"
