"8305","011000010703","CT","Broad Brook"
"8306","011000010203","CT,MA","Middle French River"
"8308","011000010301","CT,MA,RI","Upper Fivemile River"
"8309","011000010302","CT,RI","Lower Fivemile River"
"8310","011000010501","CT,RI","Upper Moosup River"
"8312","010802050303","CT","Piper Brook-Park River"
"8320","020302030000","CT,NY,RI","Long Island Sound"
"8747","011000040301","CT","Mill River"
"8748","011000040304","CT","Cove River-Frontal Long Island Sound"
"8749","011000050602","CT","East Aspetuck River"
"8750","011000050703","CT","Outlet Shepaug River"
"9038","011000010701","CT","Blackwell Brook"
"9039","011000010704","CT","Cory Brook-Quinebaug River"
"9040","011000020106","CT","Hop River"
"9041","011000020204","CT","Fenton River"
"9042","011000020301","CT","Merrick Brook"
"9043","011000030201","CT","Poquetanuck Brook"
"9044","011000030301","CT","Mystic River"
"9045","011000030304","CT","Niantic River"
"9046","011000030305","CT","Fenger Brook-Frontal Long Island Sound"
"13119","011000070303","CT,RI","Outlet Pawcatuck River"
"14947","011000010403","CT","Fall Brook-Quinebaug River"
"14971","011000020201","CT","Bungee Brook"
"14994","011000050701","CT","Headwaters Shepaug River"
"14995","011000040104","CT","Muddy River"
"14996","011000040206","CT","Farm River"
"15013","011000010401","CT,MA","Roseland Lake-Little River"
"15020","011000050306","CT,MA","Carse Brook-Housatonic River"
"15034","011000051003","CT","Halfway River-Housatonic River"
"15035","011000050803","CT","Lake Lillinonah-Housatonic River"
"15036","011000050901","CT","Nonnewaug River"
"15037","011000050903","CT","Pomperaug River"
"15041","011000051201","CT","Hancock Brook"
"15042","011000051204","CT","Hop Brook"
"15043","011000051207","CT","Bladens River-Naugatuck River"
"15044","011000060101","CT","Aspetuck River"
"15045","011000010101","CT,MA","Hamilton Reservoir"
"15046","011000010104","CT,MA","Cady Brook-Quinebaug River"
"15047","011000020103","CT,MA","Furnace Brook"
"15048","011000050204","CT,MA","Ironwork Brook-Housatonic River"
"15049","011000050303","CT,MA","Blackberry River"
"15249","011000060201","CT,NY","Silvermine River"
"15250","011000060401","CT,NY","Rippowam River-Frontal Stamford Harbor"
"15251","011000060402","CT,NY","Mianus River-Frontal Cos Cob Harbor"
"15252","011000050501","CT,NY","Headwaters Webatuck Creek"
"15253","011000050601","CT,NY","Lake Candlewood"
"15254","011000060403","CT,NY","Byram River"
"15255","011000060404","CT,NY","Fivemile River-Frontal Long Island Sound"
"15256","011000010503","CT,RI","Lower Moosup River"
"15364","010802050301","CT","Trout Brook"
"15365","010802050903","CT","Eightmile River"
"15366","010802070401","CT","Nepaug River"
"15367","010802070403","CT","Copper Mine Brook"
"15368","010802070501","CT","West Branch Salmon Brook"
"15369","010802050103","CT,MA","Muddy Brook"
"15370","010802070302","CT,MA","Valley Brook-East Branch Farmington River"
"15447","011000070101","CT,RI","Upper Wood River"
"15461","011000070205","CT,RI","Tomaquag Brook-Pawcatuck River"
"15656","011000070302","CT","Shunock River"
"15664","010802050601","CT","Upper Mattabesset River"
"15665","010802050602","CT","Coginchaug River"
"15666","010802050603","CT","Lower Mattabesset River"
"15668","010802050701","CT","Higganum Creek"
"15669","010802050802","CT","Jeremy River"
"15670","010802050902","CT","East Branch Eightmile River"
