"7011","010700030303","NH","Hopkinton Lake"
"7013","010700060401","NH","Crystal Lake"
"7014","010700030504","NH","Blackwater River"
"7015","010700020202","NH","Tioga River"
"7016","010700020203","NH","Winnipesaukee River"
"7024","010600020904","ME,NH","Great Brook-Ossipee River"
"7025","010700030601","NH","Hardy Spring Brook-Contoocook River"
"7026","010700030603","NH","Contoocook River"
"7027","010600020903","ME,NH","Mill Brook"
"9299","010801030204","NH,VT","Stevens River"
"11132","010700061404","MA,NH","Outlet Merrimack River"
"11141","010600031006","MA,NH","Hampton Harbor Inlet-Atlantic Ocean"
"13106","010700060801","NH","Black Brook"
"13108","010700010601","NH","Cockermouth River"
"13109","010700060604","NH","Headwaters South Branch Piscataquog River"
"13111","010700020103","NH","Shannon Brook-Moultonborough Bay"
"13115","010700061206","MA,NH","Limit Brook-Merrimack River"
"13986","010801070505","NH,VT","Catsbane Brook-Connecticut River"
"14869","010801030502","NH","Ogontz Brook"
"14871","010801010402","NH","Lower Mohawk River"
"14872","010801010401","NH","Upper Mohawk River"
"14879","010802020101","MA,NH","Headwaters Millers River"
"14904","010802010201","NH","Otter Brook Lake-Otter Brook"
"14905","010802010402","MA,NH","Mirey Brook"
"14910","010801060701","NH","Little Sugar River"
"14911","010801060404","NH","North Branch Sugar River"
"14914","010801030201","NH,VT","Miles Stream-Connecticut River"
"14915","010801070201","NH","Headwaters Cold River"
"14916","010801060301","NH","Bloods Brook"
"14918","010801060104","NH","Crystal Lake Brook"
"14941","010801040204","NH","Grant Brook"
"14946","010801010902","NH,VT","Dean Brook-Connecticut River"
"15429","010700030105","NH","Otter Brook"
"15430","010700030203","NH","Shedd Brook"
"15431","010700060402","NH","Upper Suncook Lake-Suncook River"
"15432","010700030503","NH","Mountain Brook-Blackwater River"
"15433","010700030304","NH","Hopkinton Lake-Contoocook River"
"15434","010700060201","NH","Gues Meadow Brook"
"15436","010700060501","NH","Perry Brook-Suncook River"
"15437","010700020102","NH","Watson Brook-Alton Bay"
"15438","010700010803","NH","Franklin Falls Dam-Pemigewasset River"
"15439","010700020108","NH","Lake Waukewan"
"15442","010700040302","MA,NH","Witch Brook-Squannacook River"
"15443","010700061102","MA,NH","Spicket River"
"15444","010700030101","NH","Town Farm Brook-Contoocook River"
"15445","010700060903","NH","Stony Brook"
"15649","010700030201","NH","Highland Lake"
"15651","010700030102","NH","Brush Brook"
"15652","010802010202","NH","The Branch-Otter Brook"
"15653","010802010101","NH","Ashuelot Pond-Ashuelot River"
"15686","010700061402","MA,NH","Creek Brook-Merrimack River"
"16165","010801030501","NH","Salmon Hole Brook-Ammonoosuc River"
"16166","010801030206","NH,VT","Manchester Brook-Connecticut River"
"16167","010801030506","NH","Ammonoosuc River"
"16186","010801030602","NH,VT","Wells River"
"16943","010801010903","NH,VT","Mink Brook-Connecticut River"
"16949","010400010403","NH","Nathan Pond Brook-Swift Diamond River"
"20659","010600030602","NH","Axe Handle Brook"
"20660","010700030401","NH","Andrew Brook"
"20662","010801060403","NH","South Branch Sugar River"
"20664","010600030606","NH","Long Pond"
"20665","010700060302","NH","Bow Bog Brook-Merrimack River"
"20666","010700030404","NH","Lower Warner River"
"20672","010801040104","NH,VT","Waits River"
"20876","010801010706","NH","Nash Stream"
"20879","010700030301","NH","Sand Brook-Contoocook River"
"20882","010700060301","NH","Turkey River"
"20928","010801030503","NH","Pearl Lake Brook-Ammonoosuc River"
"20950","010801030203","NH,VT","Comerford Station Dam-Connecticut River"
"21033","010801020403","NH,VT","Water Andric-Passumpsic River"
"21034","010801030202","NH,VT","Moore Reservoir-Connecticut River"
"21035","010801010703","NH","North Branch Upper Ammonoosuc River"
"21041","010801010403","NH","Simms Stream"
"21042","010400010502","NH","Clear Stream"
"21043","010801010404","NH,VT","Clough Brook-Connecticut River"
"21044","010400010406","ME,NH","Sturtevant Stream-Magalloway River"
"21048","010400010405","NH","Dead Diamond River"
"21098","010700061207","MA,NH","Fish Brook-Merrimack River"
"21205","010700040301","MA,NH","Willard Brook"
"21211","010400010304","ME,NH","Little Magalloway River"
"21263","010700060403","NH","Big River"
"21264","010700030602","NH","Deer Meadow Brook"
"21265","010700060102","NH","Tannery Brook-Merrimack River"
"21275","010700061205","MA,NH","Lower Beaver Brook"
"21276","010700061201","MA,NH","Salmon Brook"
"21277","010802010501","MA,NH,VT","Pauchaug Brook-Connecticut River"
"21278","010700060901","MA,NH","Headwaters Souhegan River"
"21282","010400010306","ME,NH","Abbott Brook-Magalloway River"
"21284","010400010402","NH","West Branch Dead Diamond"
"21285","010400010401","NH","Middle Branch Dead Diamond River"
"21286","010400010305","ME,NH","Aziscohos Lake"
"21324","010802020202","MA,NH","Lawrence Brook"
"21327","010700040402","MA,NH","Unkety Brook-Nashua River"
"21329","010802020203","MA,NH","Tully River"
"21330","010802020103","MA,NH","Tarbell Brook-Millers River"
"21331","010700040401","MA,NH","Nissitissit River"
"21332","010802020102","MA,NH","Priest Brook"
"21334","010700061204","NH","Golden Brook"
"21335","010700061001","NH","Pennichuck Brook"
"21336","010700060902","NH","Blood Brook-Souhegan River"
"21337","010801070507","NH,VT","Vernon Dam-Connecticut River"
"21344","010700060202","NH","Soucook River"
"21355","010802010302","NH","Martin Brook"
"21356","010700061002","NH","Nesenkeag Brook-Merrimack River"
"21365","010801060402","NH","Sunapee Lake"
"21371","010700010804","NH","Sucker Brook-Pemigewasset River"
"21379","010700030403","NH","Lane River"
"21381","010600030603","NH","Middle Cocheco River"
"21383","010600030506","ME,NH","Middle Salmon Falls River"
"21384","010801060702","NH,VT","Spencer Brook-Connecticut River"
"21385","010801060406","NH","Quabbinnight Brook-Sugar River"
"21387","010700030501","NH","Cascade Brook"
"21388","010600030601","NH","Upper Cocheco River"
"21488","010802010403","NH","Ashuelot River"
"21491","010700061101","NH","Arlington Mill Reservoir"
"21492","010700060906","NH","Souhegan River"
"21493","010700060904","NH","Purgatory Brook-Souhegan River"
"21494","010700030104","NH","Gridley River-Contoocook River"
"21495","010700060804","NH","Little Cohas Brook-Merrimack River"
"21496","010700061403","MA,NH","Powwow River"
"21498","010700061203","NH","Upper Beaver Brook"
"21502","010700020101","NH","Wolfeboro Bay-Frontal Lake Winnipeasaukee"
"21503","010700010602","NH","Bog Brook"
"21504","010801060102","NH","Indian River"
"21505","010700020105","NH","Lake Kanasatka-Lake Winnipesaukee"
"21507","010600020703","NH","Pine River"
"21508","010600020702","NH","Dan Hole River-Beech River"
"21511","010801040205","NH,VT","Lake Morey-Connecticut River"
"21514","010600020406","ME,NH","Lovewell Pond-Saco River"
"21521","010700061401","MA,NH","Little River"
"21522","010801070506","NH,VT","Whetstone Brook"
"21523","010802010303","NH","South Branch Ashuelot River"
"21524","010802010401","NH","Wheelock Brook-Ashuelot River"
"21528","010700020201","NH","Winnisquam Lake"
"21550","010801030101","NH","Forest Lake-Bog Brook"
"21552","010801030205","NH,VT","McIndoe Falls-Connecticut River"
"21553","010801030403","NH","Baker Brook-Ammonoosuc River"
"21619","010600031003","NH","Taylor River"
"21620","010801070503","NH","Partridge Brook"
"21621","010600030805","NH","Exeter River-Squamscott River"
"21622","010700060905","NH","Baboosic Brook"
"21624","010700030106","NH","Ferguson Brook-Contoocook River"
"21625","010700060703","NH","Cohas Brook"
"21626","010700030103","NH","Nubanusit Brook"
"21627","010600021002","ME,NH","Rock Haven Lake-Little Ossipee River"
"21628","010801060105","NH","Mascoma Lake-Mascoma River"
"21630","010801040401","NH","Mink Brook"
"21634","010400010201","ME,NH","Swift Cambridge River"
"21636","010801010602","NH","Bog Brook"
"21637","010400010601","ME,NH","Mollidgewock Brook"
"21652","010700020104","NH","Melvin River-Frontal Moultonborough Bay"
"21655","010801060703","NH,VT","Jabes Hackett Brook-Connecticut River"
"21656","010801060603","NH,VT","Williams River"
"21660","010700060502","NH","Little Suncook River"
"21661","010600030608","NH","Lower Cocheco River"
"21662","010700060503","NH","Suncook River"
"21723","010600020701","NH","Beech River"
"21724","010700010603","NH","Newfound Lake-Newfound River"
"21725","010600020803","NH","Danforth Ponds"
"21730","010600030803","NH","Spruce Swamp-Exeter River"
"21731","010700060803","NH","Bowman Brook-Merrimack River"
"21732","010802010301","NH","Ash Swamp Brook-Ashuelot River"
"21734","010700060606","NH","South Branch Piscataquog River"
"21735","010801010603","NH,VT","Dennis Pond Brook-Connecticut River"
"21738","010801070203","NH","Cold River"
"21739","010801070202","NH","Vilas Pool-Cold River"
"21740","010700030302","NH","Amey Brook"
"21741","010600030607","NH","Isinglass River"
"21782","010700030107","NH","Moose Brook-Contoocook River"
"21783","010600030802","NH","Watson Brook-Exeter River"
"21784","010700060702","NH","Massabesic Lake"
"21785","010600030901","NH","Winnicut River"
"21788","010600031002","NH","Berrys Brook-Frontal Rye Harbor"
"21789","010600030806","NH","Squamscott River"
"21797","010600030604","NH","Bow Lake"
"21798","010700030402","NH","Upper Warner River"
"21802","010700060101","NH","Punch Brook-Merrimack River"
"21803","010801060407","NH","Sugar River"
