"","x"
"1","070200090402"
"2","070200030503"
"3","070200030602"
"4","030701040701"
"5","030701040506"
"6","030701040603"
"7","070200030701"
"8","070300040804"
"9","030701040702"
"10","070200030702"
"11","070200041102"
"12","030701040804"
"13","030701040805"
"14","030701040806"
"15","070200090401"
"16","030901011102"
"17","070200090403"
"18","030901010902"
"19","070300040601"
"20","070300040602"
"21","070200010901"
"22","070200050503"
"23","070200050605"
"24","070200110508"
"25","070200010405"
"26","070200050604"
"27","070900070103"
"28","070300050401"
"29","070900070402"
"30","070700010403"
"31","070700010201"
"32","070700011004"
"33","070700011102"
"34","070700010501"
"35","070700010502"
"36","070700010603"
"37","070700010705"
"38","070700010801"
"39","070700011204"
"40","070200070901"
"41","070200070903"
"42","070300051102"
"43","070200071003"
"44","070300020404"
"45","070300050203"
"46","070300050707"
"47","070300050502"
"48","070300050705"
"49","070300011004"
"50","070300050805"
"51","070300010106"
"52","070300010107"
"53","070300020206"
"54","070300020302"
"55","070300020304"
"56","070300020307"
"57","070300050808"
"58","070300051004"
"59","070200080203"
"60","070300051005"
"61","070200030204"
"62","070300010504"
"63","070300030103"
"64","070300030101"
"65","070300010904"
"66","070300020104"
"67","070200070501"
"68","070300030205"
"69","070300010105"
"70","070300010604"
"71","070200080301"
"72","070400080902"
"73","070300030201"
"74","070300020311"
"75","070300010101"
"76","070300010103"
"77","070300010104"
"78","070300020101"
"79","070400030605"
"80","070200040604"
"81","070400050201"
"82","070400050202"
"83","070200110505"
"84","070200110507"
"85","070400010206"
"86","070400020103"
"87","070400020201"
"88","070400040302"
"89","070400010202"
"90","070400010203"
"91","070200090906"
"92","070400020202"
"93","070400020203"
"94","070400020305"
"95","070400030604"
"96","070400020902"
"97","070400040511"
"98","070200051001"
"99","070200051002"
"100","070200060602"
"101","070400040105"
"102","070200090101"
"103","070200090102"
"104","070200090301"
"105","070400080102"
"106","070200090201"
"107","070200090202"
"108","070200040801"
"109","070400030102"
"110","070400040305"
"111","070400040404"
"112","070101060504"
"113","070400040508"
"114","070200050704"
"115","070200050705"
"116","070200060701"
"117","070400030101"
"118","070400030201"
"119","070400030401"
"120","070400030402"
"121","070400030403"
"122","070400030405"
"123","070200030305"
"124","070200080303"
"125","070200090404"
"126","070200030502"
"127","070200030202"
"128","070200030301"
"129","070200030307"
"130","070200011101"
"131","051201120302"
"132","070200030102"
"133","070400050502"
"134","070400070104"
"135","070400050205"
"136","070400050301"
"137","070400060301"
"138","050902030501"
"139","070400060303"
"140","070400060304"
"141","070400060402"
"142","070400060403"
"143","070400070201"
"144","070400070202"
"145","070400070402"
"146","050800030602"
"147","070400070501"
"148","070400070602"
"149","070400070603"
"150","070400070605"
"151","070400071102"
"152","070200051102"
"153","070400070802"
"154","070102050502"
"155","070400070901"
"156","070400070906"
"157","070400071101"
"158","070400071208"
"159","070400070606"
"160","070400070608"
"161","070400070801"
"162","070102060501"
"163","180702010002"
"164","070200051103"
"165","070200060103"
"166","180702020101"
"167","070300040109"
"168","070102050501"
"169","070102050503"
"170","070102050601"
"171","070102050602"
"172","070101060405"
"173","070102050604"
"174","071300090607"
"175","070102050605"
"176","070101060601"
"177","070102060304"
"178","070102010202"
"179","070101080501"
"180","070101060803"
"181","070101080601"
"182","070102040103"
"183","070102010201"
"184","070101070103"
"185","070101060806"
"186","070102030203"
"187","070101070102"
"188","110200110705"
"189","070101070304"
"190","050800030801"
"191","070101070401"
"192","030102040203"
"193","070102010504"
"194","070102040402"
"195","070102010603"
"196","070200080402"
"197","070101020204"
"198","070102010401"
"199","070200091003"
"200","070101020305"
"201","070101020407"
"202","070101020408"
"203","070102020104"
"204","100301011303"
"205","070102030202"
"206","070101070601"
"207","070102020202"
"208","070102020302"
"209","120100051005"
"210","070102020501"
"211","070101020505"
"212","070101020604"
"213","070102030201"
"214","120302030202"
"215","070102040203"
"216","101500040901"
"217","101500040902"
"218","101500040907"
"219","101500041002"
"220","101500041003"
"221","070102040104"
"222","070102030403"
"223","101500041201"
"224","070102040202"
"225","070102040204"
"226","101500041203"
"227","101500041204"
"228","101500070504"
"229","101500050101"
"230","101500050203"
"231","101500050502"
"232","101500070505"
"233","101500071003"
"234","101500071005"
"235","070102040209"
"236","070101040404"
"237","070102040303"
"238","070101010701"
"239","070102040305"
"240","070102050202"
"241","070102040403"
"242","080203020504"
"243","070102030204"
"244","150200180803"
"245","150200180804"
"246","150200180805"
"247","150200180902"
"248","150200180903"
"249","150200180904"
"250","150200181001"
"251","070102030205"
"252","070102040401"
"253","150301041201"
"254","070101010502"
"255","070102030303"
"256","070102030304"
"257","070102050101"
"258","070102040404"
"259","070102050103"
"260","070102030506"
"261","070101010202"
"262","070101010201"
"263","070101010508"
"264","070101040701"
"265","070101040406"
"266","070101040505"
"267","070101040801"
"268","170102010606"
"269","070101030207"
"270","070101030302"
"271","070101010909"
"272","070200080704"
"273","070101040902"
"274","070102050201"
"275","070101040805"
"276","070101040903"
"277","051202010101"
"278","070102050106"
"279","070101050101"
"280","100500140407"
"281","070101030304"
"282","070102050401"
"283","070101030406"
"284","070102050403"
"285","070102050306"
"286","070101060201"
"287","070101050604"
"288","050702010201"
"289","050702010202"
"290","050500020603"
"291","050702010104"
"292","050702010207"
"293","070101050303"
"294","070101030702"
"295","070102050402"
"296","070101030903"
"297","070102050405"
"298","070101050405"
"299","070101050501"
"300","070101060101"
"301","050500020103"
"302","100500040602"
"303","050500020104"
"304","050902030301"
"305","102200020604"
"306","102200011311"
"307","050500020301"
"308","070200091002"
"309","102200020601"
"310","102200011310"
"311","050500020402"
"312","100402010206"
"313","050500020602"
"314","050702010103"
"315","050500020601"
"316","050500020604"
"317","050500020901"
"318","050500020903"
"319","050500021001"
"320","050902030302"
"321","050902030304"
"322","070200041002"
"323","051202070301"
"324","030102040603"
"325","030102040604"
"326","070200040802"
"327","070200041003"
"328","070200040803"
"329","070200041001"
"330","050902030502"
"331","050902030503"
"332","051202010102"
"333","070200041203"
"334","070200030306"
"335","070200020501"
"336","070200080702"
"337","070200040201"
"338","070200080705"
"339","070200051101"
"340","070200080707"
"341","050902030802"
"342","050902030506"
"343","050902030507"
"344","051202010104"
"345","190101031101"
"346","051202010106"
"347","051201010904"
"348","051202010107"
"349","050800011101"
"350","050800011201"
"351","071300090804"
"352","051202080103"
"353","070200041201"
"354","070200050802"
"355","170102030501"
"356","070200040302"
"357","070200110106"
"358","070200040202"
"359","070200030705"
"360","031001020506"
"361","070200040101"
"362","070200040102"
"363","070200100502"
"364","100700060601"
"365","101302040203"
"366","101302040205"
"367","070200110103"
"368","101302040206"
"369","101302040207"
"370","070500020307"
"371","070200070102"
"372","070500010604"
"373","070500010302"
"374","070500010304"
"375","070500020606"
"376","070500020306"
"377","070200070502"
"378","030901010201"
"379","070200070702"
"380","070200070101"
"381","051201010801"
"382","070200070201"
"383","050800011403"
"384","070200070202"
"385","070200070301"
"386","070200090501"
"387","050902030601"
"388","070200080706"
"389","051201010601"
"390","051201010602"
"391","070200041005"
"392","050800020404"
"393","070200050806"
"394","030901010501"
"395","070200050803"
"396","101302040208"
"397","101302040209"
"398","101302040301"
"399","101302040303"
"400","070200050804"
"401","101302040304"
"402","101302040305"
"403","101302040401"
"404","101302040402"
"405","101302040403"
"406","171200080702"
"407","070200050805"
"408","051201010901"
"409","070200050807"
"410","100800040302"
"411","070200060101"
"412","070200080401"
"413","070200060102"
"414","070200060302"
"415","070200011005"
"416","070200080801"
"417","070200080802"
"418","070200120201"
"419","070200041007"
"420","101000041804"
"421","070200120102"
"422","100401050603"
"423","070200120202"
"424","101302040704"
"425","101302050101"
"426","070200120203"
"427","101302050102"
"428","101302050205"
"429","101302050302"
"430","101302050303"
"431","101302050304"
"432","101302050401"
"433","101302050403"
"434","101301060301"
"435","101301060104"
"436","070200120301"
"437","101302020101"
"438","070200120302"
"439","101302020107"
"440","101302020202"
"441","101302020204"
"442","070200120303"
"443","070200070404"
"444","051201130903"
"445","051201010902"
"446","051201140402"
"447","051201130901"
"448","101000042604"
"449","051201130902"
"450","070200050901"
"451","051201130904"
"452","051402020705"
"453","051402040501"
"454","070200030703"
"455","070200030704"
"456","070200040804"
"457","051201140905"
"458","070200070503"
"459","051201141004"
"460","051202090301"
"461","051202090601"
"462","070200080202"
"463","070200010104"
"464","070200040903"
"465","070200040902"
"466","070200010204"
"467","070200010301"
"468","070200060601"
"469","070200010106"
"470","051201011003"
"471","070200120304"
"472","071300090805"
"473","070200120305"
"474","070200010107"
"475","070200010203"
"476","030801010104"
"477","040500011602"
"478","040500011604"
"479","030801010302"
"480","040500011701"
"481","070200110105"
"482","040500011702"
"483","070200020101"
"484","070200110201"
