TNMID_2019,TNMID_2015,LOADDATE_2019,LoadDate_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC10_2019,HUC10_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,NAME_2019,Name_2015
{B4FE3872-346B-4415-8FB9-E871D5ABF264},{B4FE3872-346B-4415-8FB9-E871D5ABF264},10/4/2019 10:49,10/24/2012 7:27,127606.29,127606,516.4,516.4,NY,NY,0430010101,0415040101,S,S,,,Halfway Creek-Lake Champlain Canal,Halfway Creek-Lake Champlain Canal
{2C72A2D0-F0E5-4DE5-A83E-247DC4B0B30B},{2C72A2D0-F0E5-4DE5-A83E-247DC4B0B30B},10/4/2019 10:49,10/24/2012 7:27,134872.28,134926,545.81,546.03,"NY,VT","NY,VT",0430010102,0415040102,S,S,,,Mettawee River,Mettawee River
{894868B8-0151-4B30-9A26-6EB2FA9ED42E},{894868B8-0151-4B30-9A26-6EB2FA9ED42E},10/4/2019 10:49,10/24/2012 7:27,177482.59,177482,718.25,718.24,"NY,VT",VT,0430010103,0415040103,S,S,,,Poultney River,Poultney River
{955519D2-5A42-4AB8-8573-45CC5D8D35DC},{955519D2-5A42-4AB8-8573-45CC5D8D35DC},10/4/2019 10:49,10/24/2012 7:27,234059.25,234066,947.21,947.23,VT,VT,0430010201,0415040201,S,S,,,Headwaters Otter Creek,Headwaters Otter Creek
{5870EA20-6EB8-4820-AC88-D31283C241B9},{5870EA20-6EB8-4820-AC88-D31283C241B9},10/4/2019 10:49,10/24/2012 7:27,74409.02,74409,301.12,301.12,VT,VT,0430010202,0415040202,S,S,,,New Haven River,New Haven River
{0F42BE93-B695-467F-9F6C-3B0FA64C2063},{0F42BE93-B695-467F-9F6C-3B0FA64C2063},10/4/2019 10:49,10/24/2012 7:27,176263.07,176262,713.31,713.31,VT,VT,0430010203,0415040203,S,S,,,Middlebury River-Otter Creek,Middlebury River-Otter Creek
{997C231C-AC73-409D-B720-A8730EE1C72A},{997C231C-AC73-409D-B720-A8730EE1C72A},10/4/2019 10:49,10/24/2012 7:27,58422.02,58422,236.43,236.6091,VT,VT,0430010204,0415040204,S,S,,,Lemon Fair River,Lemon Fair River
{5E85D559-101D-4F24-BBB2-D3D4688E26BF},{5E85D559-101D-4F24-BBB2-D3D4688E26BF},10/4/2019 10:49,10/24/2012 7:27,60552.18,60465,245.05,244.88325,VT,VT,0430010205,0415040205,S,S,,,Otter Creek,Otter Creek
{0D4BECE1-8644-4BB9-A02F-F484A786D18B},{0D4BECE1-8644-4BB9-A02F-F484A786D18B},10/4/2019 10:49,10/24/2012 7:27,73733.85,73734,298.39,298.39,VT,VT,0430010301,0415040301,S,S,,,Stevens Branch,Stevens Branch
{AD331E90-1D74-4F79-BF0B-949732D5F0BA},{AD331E90-1D74-4F79-BF0B-949732D5F0BA},10/4/2019 10:49,10/24/2012 7:27,128584.55,128588,520.36,520.38,VT,VT,0430010302,0415040302,S,S,,,Headwaters Winooski River,Headwaters Winooski River
