OBJECTID_2019,OBJECTID_2015,TNMID_2019,TNMID_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC12_2019,HUC12_2015,NAME_2019,Name_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,TOHUC_2019,ToHUC_2015,NONCONTRIBUTINGAREAACRES_2019,NonContributingAcres_2015,NONCONTRIBUTINGAREASQKM_2019,NonContributingSqKm_2015
59339,41946,{BF65FAA5-46EA-4E65-8592-A197AAD1689B},{BF65FAA5-46EA-4E65-8592-A197AAD1689B},11929.05,11929,48.28,48.27499294,NY,NY,043001010101,041504010101,Headwaters Halfway Creek,Headwaters Halfway Creek,S,S,NM,NM,43001010103,41504010103,0,0,0,0
59340,41947,{CEA64627-6E40-41D1-BCFB-D07E2C7227AB},{CEA64627-6E40-41D1-BCFB-D07E2C7227AB},12382.49,12382,50.11,50.10822052,NY,NY,043001010102,041504010102,Hadlock Pond,Hadlock Pond,S,S,DM,DM,43001010103,41504010103,0,0,0,0
59341,41948,{2001EE14-0DE8-4AAC-9977-C3A9B1D478BE},{2001EE14-0DE8-4AAC-9977-C3A9B1D478BE},32326.72,32327,130.82,130.8228432,NY,NY,043001010103,041504010103,Halfway Creek,Halfway Creek,S,S,DM,DM,43001010104,41504010104,0,0,0,0
59342,41949,{70BBA9C4-0F87-49C8-B961-232EDB3C9D54},{70BBA9C4-0F87-49C8-B961-232EDB3C9D54},37864.72,37865,153.23,153.2343539,NY,NY,043001010104,041504010104,Wood Creek-Lake Champlain Canal,Wood Creek-Lake Champlain Canal,S,S,BC,BC,43001010105,41504010105,0,0,0,0
59343,41950,{7BE102EB-5188-4B49-8C29-74C839749D19},{7BE102EB-5188-4B49-8C29-74C839749D19},33103.31,33103,133.96,133.9632066,NY,NY,043001010105,041504010105,Lake Champlain Canal,Lake Champlain Canal,S,S,BC,BC,43001010307,41504010307,0,0,0,0
98095,78371,{AA42E0CE-6BEB-4C78-AF3B-2598E2071151},{AA42E0CE-6BEB-4C78-AF3B-2598E2071151},28045.77,28100,113.5,113.716766,VT,VT,043001010201,041504010201,Headwaters Mettawee River,Headwaters Mettawee River,S,S,NM,NM,43001010203,41504010203,0,0,0,0
98096,78372,{5F4A1DEA-2980-4176-99DC-05AD81C1A13E},{5F4A1DEA-2980-4176-99DC-05AD81C1A13E},12147.05,12147,49.16,49.15720842,VT,VT,043001010202,041504010202,Flower Brook,Flower Brook,S,S,NM,NM,43001010203,41504010203,0,0,0,0
63368,45829,{4BF1846D-0476-4DCD-9053-13FBDDE0D969},{4BF1846D-0476-4DCD-9053-13FBDDE0D969},33443.39,33443,135.34,135.339139,"NY,VT","NY,VT",043001010203,041504010203,Wells Brook-Mettawee River,Wells Brook-Mettawee River,S,S,NM,NM,43001010205,41504010205,0,0,0,0
63369,45830,{1414B24C-1F70-46F9-BE0D-81DFAA2C4624},{1414B24C-1F70-46F9-BE0D-81DFAA2C4624},23667.16,23667,95.78,95.77703562,"NY,VT","NY,VT",043001010204,041504010204,Indian River,Indian River,S,S,NM,NM,43001010205,41504010205,0,0,0,0
63370,45831,{50419318-D40D-4674-A293-E4C7020D3C25},{50419318-D40D-4674-A293-E4C7020D3C25},37568.91,37569,152.04,152.0364833,"NY,VT","NY,VT",043001010205,041504010205,Mettawee River,Mettawee River,S,S,NM,NM,43001010307,41504010307,0,0,0,0
